ticker,BHVN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-04,2.9412000000000003
2017-05-05,2.3429
2017-05-08,8.3194
2017-05-09,2.3196
2017-05-10,10.1763
2017-05-11,0.1372
2017-05-12,-1.4155
2017-05-15,1.7601
2017-05-16,4.0055
2017-05-17,-3.326
2017-05-18,1.4939
2017-05-19,-1.7841
2017-05-22,-5.0863
2017-05-23,4.9761
2017-05-24,-0.4558
2017-05-25,5.174
2017-05-26,3.5699
2017-05-30,1.2610000000000001
2017-05-31,4.6492
2017-06-01,-1.2692999999999999
2017-06-02,-1.5267
2017-06-05,0.9792
2017-06-06,-10.2222
2017-06-07,-0.9451
2017-06-08,-0.0909
2017-06-09,-2.2283
2017-06-12,0.3256
2017-06-13,5.146
2017-06-14,3.7037
2017-06-15,-1.8707
2017-06-16,10.8319
2017-06-19,0.1955
2017-06-20,-0.1951
2017-06-21,4.7694
2017-06-22,-5.0
2017-06-23,-0.5106
2017-06-26,-1.2633
2017-06-27,0.1999
2017-06-28,-1.0774
2017-06-29,1.3715
2017-06-30,-0.5173
2017-07-03,4.04
2017-07-05,-1.9223
2017-07-06,-3.332
2017-07-07,-2.6358
2017-07-10,-0.0416
2017-07-11,-0.7083
2017-07-12,3.2312
2017-07-13,-0.813
2017-07-14,1.3525
2017-07-17,1.2131
2017-07-18,-0.4794
2017-07-19,-0.6825
2017-07-20,-1.6572
2017-07-21,2.2606
2017-07-24,3.6576
2017-07-25,1.7061
2017-07-26,-0.4194
2017-07-27,-3.3308
2017-07-28,1.4257
2017-07-31,0.5857
2017-08-01,-1.6303999999999998
2017-08-02,-6.7482
2017-08-03,-0.3809
2017-08-04,0.1699
2017-08-07,1.6964000000000001
2017-08-08,1.0842
2017-08-09,-0.2475
2017-08-10,-2.316
2017-08-11,3.3023
2017-08-14,0.041
2017-08-15,0.7374
2017-08-16,4.27
2017-08-17,-0.195
2017-08-18,11.4498
2017-08-21,6.3464
2017-08-22,10.4517
2017-08-23,-1.4328
2017-08-24,3.5736
2017-08-25,0.117
2017-08-28,9.6379
2017-08-29,-2.9302
2017-08-30,-3.5401
2017-08-31,1.7069999999999999
2017-09-01,6.2937
2017-09-05,-1.2105
2017-09-06,1.4385
2017-09-07,-0.2889
2017-09-08,0.395
2017-09-11,0.2361
2017-09-12,-0.5234
2017-09-13,0.4209
2017-09-14,-0.917
2017-09-15,0.1058
2017-09-18,-1.3471
2017-09-19,0.8835
2017-09-20,-1.327
2017-09-21,-1.049
