ticker,NDLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-28,104.1667
2013-07-01,4.6803
2013-07-02,22.693
2013-07-03,-4.661
2013-07-05,-1.5110999999999999
2013-07-08,-9.6119
2013-07-09,2.6959999999999997
2013-07-10,7.2679
2013-07-11,-1.0197
2013-07-12,-1.717
2013-07-15,-0.5358
2013-07-16,0.4684
2013-07-17,2.5641
2013-07-18,-2.8182
2013-07-19,-0.1403
2013-07-22,-1.3583
2013-07-23,4.9858
2013-07-24,-1.8996
2013-07-25,1.3831
2013-07-26,-2.2283
2013-07-29,0.0233
2013-07-30,0.093
2013-07-31,0.7433
2013-08-01,2.1443
2013-08-02,3.0926
2013-08-05,0.1533
2013-08-06,-2.6672000000000002
2013-08-07,3.6388
2013-08-08,2.4491
2013-08-09,-10.4929
2013-08-12,-3.0631
2013-08-13,-2.0578
2013-08-14,0.1992
2013-08-15,-1.0932
2013-08-16,3.6172
2013-08-19,1.1636
2013-08-20,1.0544
2013-08-21,-5.1933
2013-08-22,0.6003
2013-08-23,2.4863
2013-08-26,2.4017
2013-08-27,1.9664000000000001
2013-08-28,3.973
2013-08-29,3.1732
2013-08-30,-1.1046
2013-09-03,-1.9710999999999999
2013-09-04,-0.849
2013-09-05,3.1095
2013-09-06,-0.743
2013-09-09,-0.7838
2013-09-10,-1.5622
2013-09-11,-1.6231
2013-09-12,3.0935
2013-09-13,1.6226
2013-09-16,-2.7122
2013-09-17,0.9892
2013-09-18,1.2912
2013-09-19,0.022
2013-09-20,-3.4937
2013-09-23,-1.2978
2013-09-24,-2.0992
2013-09-25,1.6494
2013-09-26,2.828
2013-09-27,-0.0676
2013-09-30,-3.316
2013-10-01,0.2566
2013-10-02,0.4189
2013-10-03,-0.2781
2013-10-04,1.2782
2013-10-07,1.7898
2013-10-08,-1.9161000000000001
2013-10-09,0.4367
2013-10-10,3.6612999999999998
2013-10-11,3.3554
2013-10-14,3.161
2013-10-15,-4.7826
2013-10-16,0.1305
2013-10-17,-0.0651
2013-10-18,1.8904999999999998
2013-10-21,-1.8340999999999998
2013-10-22,0.1521
2013-10-23,-1.1497
2013-10-24,1.6897
2013-10-25,-1.7911000000000001
2013-10-28,-1.9996
2013-10-29,1.4574
2013-10-30,-3.5138
2013-10-31,0.2978
2013-11-01,0.2969
2013-11-04,2.8689
2013-11-05,5.5556
2013-11-06,-2.1178
2013-11-07,-9.8115
2013-11-08,0.095
2013-11-11,2.0645
2013-11-12,1.8368
2013-11-13,-0.1826
