ticker,EARI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-18,46.6667
2006-10-30,0.0
2006-11-02,-31.8182
2006-11-08,0.0
2006-11-13,0.0
2006-11-27,0.0
2006-12-11,13.3333
2006-12-29,-11.7647
2007-03-01,-53.3333
2007-05-11,257.1429
2007-11-26,16.0
2008-03-07,-79.3103
2008-03-10,-16.6667
2008-03-19,40.0
2008-03-27,114.2857
2008-10-10,-46.6667
2009-01-13,0.0
2009-01-16,0.0
2009-01-21,25.0
2009-01-26,0.0
2009-01-27,30.0
2009-01-28,-15.3846
2009-01-29,9.0909
2009-01-30,-8.3333
2009-02-18,0.0
2009-03-04,36.3636
2009-03-05,6.6667
2009-03-06,56.25
2009-03-09,104.0
2009-03-10,47.0588
2009-03-12,-32.0
2009-03-19,0.0
2009-03-20,-1.9607999999999999
2009-03-27,10.0
2009-03-30,0.0
2009-03-31,0.0
2009-04-02,-9.0909
2009-04-03,0.0
2009-04-06,-64.0
2009-04-07,5.5556
2009-04-15,0.0
2009-04-28,0.0
2009-04-29,157.8947
2009-04-30,-61.2245
2009-05-26,168.4211
2009-05-27,-50.9804
2009-06-08,104.0
2009-06-09,-49.0196
2009-06-22,23.0769
2009-06-24,0.0
2009-06-25,9.375
2009-06-26,-8.5714
2009-07-07,9.0625
2009-07-08,-5.4441
2009-07-13,-24.2424
2009-07-23,0.0
2009-07-28,8.0
2009-07-29,0.0
2009-07-30,-7.4074
2009-07-31,100.0
2009-08-03,60.0
2009-08-04,0.0
2009-08-05,6.25
2009-08-06,11.7647
2009-08-07,47.3684
2009-08-10,42.8571
2009-08-11,12.5
2009-08-12,-15.5556
2009-08-13,-11.0526
2009-08-14,12.426
2009-08-18,-21.0526
2009-08-19,16.6667
2009-08-20,-2.8571
2009-08-21,-11.1765
2009-08-24,12.5828
2009-08-25,2.9412000000000003
2009-08-26,0.0
2009-08-27,14.2857
2009-08-31,-15.0
2009-09-01,2.9412000000000003
2009-09-02,5.7143
2009-09-04,2.7027
2009-09-08,5.2632
2009-09-09,2.5
2009-09-10,-2.439
2009-09-11,-12.0
2009-09-14,-0.5682
2009-09-17,1.1429
2009-09-18,12.9944
2009-09-21,0.0
2009-09-22,0.0
2009-09-23,-2.5
2009-09-25,23.0769
2009-09-28,16.6667
2009-09-29,3.5714
2009-09-30,-5.1724
2009-10-01,-14.5455
2009-10-02,17.0213
2009-10-05,0.3636
2009-10-06,0.0
2009-10-07,-5.7971
2009-10-08,13.461500000000001
2009-10-09,-2.0339
