ticker,EDU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-07,39.2
2006-09-08,3.6877
2006-09-11,-3.5566
2006-09-12,1.0057
2006-09-13,16.9749
2006-09-14,3.8103
2006-09-15,3.0846999999999998
2006-09-18,5.303
2006-09-19,-4.4964
2006-09-20,2.6365
2006-09-21,-1.6147
2006-09-22,-4.5132
2006-09-25,-6.3281
2006-09-26,-7.4229
2006-09-27,6.1712
2006-09-28,2.6305
2006-09-29,0.0413
2006-10-02,0.3306
2006-10-03,-1.1532
2006-10-04,0.4583
2006-10-05,1.6591
2006-10-06,0.0
2006-10-09,-0.0408
2006-10-10,8.5714
2006-10-11,1.8797000000000001
2006-10-12,-1.107
2006-10-13,-0.0746
2006-10-16,-1.3443
2006-10-17,-1.9682
2006-10-18,-0.2703
2006-10-19,-9.0205
2006-10-20,4.2553
2006-10-23,-2.6122
2006-10-24,3.311
2006-10-25,0.9331
2006-10-26,-0.1608
2006-10-27,-0.3623
2006-10-30,0.3232
2006-10-31,-2.94
2006-11-01,3.6929
2006-11-02,1.3205
2006-11-03,1.2638
2006-11-06,-0.312
2006-11-07,0.0
2006-11-08,9.1158
2006-11-09,0.8247
2006-11-10,6.1522
2006-11-13,-2.8476
2006-11-14,9.8276
2006-11-15,7.3469
2006-11-16,1.5794000000000001
2006-11-17,-2.4762
2006-11-20,-5.4030000000000005
2006-11-21,3.4644
2006-11-22,2.3228
2006-11-24,-2.4175
2006-11-27,-4.8338
2006-11-28,-4.8571
2006-11-29,8.1081
2006-11-30,-1.5123
2006-12-01,2.4757
2006-12-04,4.1284
2006-12-05,4.2584
2006-12-06,0.0282
2006-12-07,-0.352
2006-12-08,0.9185
2006-12-11,3.0244
2006-12-12,-3.3705
2006-12-13,-0.6751
2006-12-14,0.8779
2006-12-15,-1.881
2006-12-18,1.5737
2006-12-19,-1.662
2006-12-20,-1.4895
2006-12-21,-2.2099
2006-12-22,-1.8733
2006-12-26,3.0303
2006-12-27,0.6176
2006-12-28,0.0292
2006-12-29,-1.9870999999999999
2007-01-03,4.9195
2007-01-04,-1.8187
2007-01-05,-1.4182000000000001
2007-01-08,1.468
2007-01-09,-1.6204
2007-01-10,5.0882
2007-01-11,4.2541
2007-01-12,0.4027
2007-01-16,-5.5348
2007-01-17,0.651
2007-01-18,-0.1687
2007-01-19,-6.7887
2007-01-22,5.7117
2007-01-23,-0.3716
2007-01-24,1.9512
2007-01-25,1.3228
2007-01-26,-2.0833
2007-01-29,4.7092
