ticker,TEHG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-03,40.0
2013-01-04,7.1429
2013-01-23,0.0
2013-02-05,-26.6667
2013-02-06,0.0
2013-02-07,5.4545
2013-02-08,0.0
2013-02-11,1.7241
2013-02-12,2.5423999999999998
2013-02-13,0.8264
2013-02-14,0.0
2013-02-15,3.2787
2013-02-19,9.5238
2013-02-20,1.4493
2013-02-21,4.2857
2013-02-22,2.7397
2013-02-25,1.1167
2013-02-26,2.8515
2013-02-27,-16.6667
2013-02-28,-13.8462
2013-03-01,7.1429
2013-03-04,-10.0
2013-03-05,6.8519
2013-03-06,0.0
2013-03-07,-0.3466
2013-03-08,2.6087
2013-03-11,-1.6949
2013-03-12,1.7241
2013-03-13,0.0
2013-03-14,-5.0847
2013-03-15,0.0
2013-03-18,0.0
2013-03-19,-0.3571
2013-03-20,-5.0179
2013-03-21,-1.8868
2013-03-22,5.7692
2013-03-25,0.0
2013-03-26,-14.5455
2013-03-27,-2.1277
2013-03-28,-8.6957
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,2.3810000000000002
2013-04-04,-6.9767
2013-04-05,-2.5
2013-04-08,7.6923
2013-04-09,-4.7619
2013-04-10,0.0
2013-04-11,-2.5
2013-04-12,0.0
2013-04-15,2.5641
2013-04-16,-2.5
2013-04-17,-10.2564
2013-04-18,0.0
2013-04-19,11.4286
2013-04-22,-10.2564
2013-04-23,0.0
2013-04-24,5.7143
2013-04-25,1.3514
2013-04-26,-17.3333
2013-04-29,-16.129
2013-04-30,-26.9231
2013-05-01,-21.0526
2013-05-02,-13.3333
2013-05-03,0.0
2013-05-06,15.3846
2013-05-07,-6.6667
2013-05-08,7.1429
2013-05-09,-6.6667
2013-05-10,-17.8571
2013-05-13,4.3478
2013-05-14,-29.1667
2013-05-15,7.0588
2013-05-16,28.7088
2013-05-17,-14.6211
2013-05-20,-19.8125
2013-05-21,37.1785
2013-05-22,-9.0909
2013-05-23,0.0
2013-05-24,0.0
2013-05-28,-9.8125
2013-05-29,0.0
2013-05-30,10.8801
2013-05-31,-5.0
2013-06-03,-26.3158
2013-06-04,14.2857
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,-3.75
2013-06-10,-2.5974
2013-06-11,-6.6667
2013-06-12,7.1429
2013-06-13,-6.6667
2013-06-14,-7.1429
2013-06-17,0.0
2013-06-18,7.6923
2013-06-19,-7.1429
2013-06-20,-7.6923
2013-06-21,0.0
2013-06-24,15.8333
2013-06-25,-12.2302
