ticker,SNLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-21,8.7485
2000-03-30,-4.3651
2000-04-03,4.5643
2000-04-25,-3.7698
2000-08-25,-0.2062
2000-08-30,10.7438
2000-09-07,0.0
2000-09-20,-5.2239
2000-12-20,-0.7874
2001-01-22,-1.5873
2001-01-25,0.0
2001-04-27,-1.7419
2001-06-07,-0.2791
2001-06-26,0.0
2001-06-27,2.0576
2001-07-23,0.0
2001-08-15,-1.6129
2001-08-29,1.6393
2001-08-30,0.0
2001-09-04,-2.0161
2001-09-18,1.6461000000000001
2001-10-05,7.1749
2001-10-23,-3.5983
2001-11-15,4.1667
2002-03-04,-0.8403
2002-05-09,0.0
2002-05-10,0.339
2002-05-20,3.0405
2002-08-30,3.5537
2002-09-10,2.7135
2002-10-28,-0.5439
2002-11-13,-1.0937999999999999
2002-11-15,10.5845
2002-11-21,-2.5
2002-11-22,-0.7353
2003-01-10,-3.6741
2003-01-24,1.5072
2003-02-07,0.0
2003-02-19,-0.7424
2003-02-21,0.748
2003-02-27,3.1939
2003-02-28,-0.958
2003-03-06,-0.2976
2003-06-06,1.8727
2003-06-17,-1.4706000000000001
2003-06-27,1.4925
2003-07-17,1.4706000000000001
2003-07-22,1.8115999999999999
2003-07-23,-0.3559
2003-07-24,1.4285999999999999
2003-07-28,8.4507
2003-07-29,2.8571
2003-08-14,1.6035
2003-08-20,1.9013
2003-09-18,-0.9174
2003-10-03,1.2346
2003-10-23,10.8108
2003-12-08,1.5291000000000001
2004-02-24,3.0211
2004-02-25,1.173
2004-05-07,0.8696
2004-05-10,0.023
2004-05-17,1.1262
2004-05-21,2.5568
2004-08-06,-5.1667
2004-08-09,2.519
2004-08-10,-2.2857
2004-08-16,1.1696
2004-09-02,1.4493
2004-09-03,1.7143000000000002
2004-10-05,0.5618
2004-11-23,0.5602
2004-11-26,0.0
2004-12-13,-1.337
2004-12-17,1.5246
2005-01-05,0.1112
2005-01-12,-1.6667
2005-01-13,1.1299
2005-01-20,0.0
2005-01-31,1.6760000000000002
2005-03-04,-3.0303
2005-03-10,0.0
2005-03-11,1.7045
2005-03-28,-1.6760000000000002
2005-03-31,1.1364
2005-04-01,0.5618
2005-04-08,0.0
2005-04-11,1.1173
2005-04-13,-0.5525
2005-05-12,1.1111
2005-05-16,-4.3956
2005-05-19,5.7471
2005-05-26,-2.9973
2005-06-07,0.0
2005-06-10,3.3708
2005-06-13,0.0
2005-06-24,-3.2609
2005-06-30,3.2584
