ticker,WSTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.9767
2000-01-04,-1.25
2000-01-05,-0.6329
2000-01-06,-1.2739
2000-01-07,0.0
2000-01-10,3.2258
2000-01-11,-0.3125
2000-01-12,0.3135
2000-01-13,1.875
2000-01-14,12.2699
2000-01-18,17.4863
2000-01-19,7.907
2000-01-20,-3.4483
2000-01-21,21.4286
2000-01-24,13.6029
2000-01-25,1.6181
2000-01-26,1.5924
2000-01-27,3.1348
2000-01-28,-8.2067
2000-01-31,-5.9603
2000-02-01,3.8731999999999998
2000-02-02,4.4068
2000-02-03,2.5974
2000-02-04,1.5823
2000-02-07,11.5265
2000-02-08,-5.3073
2000-02-09,0.295
2000-02-10,29.4118
2000-02-11,-3.8636
2000-02-14,3.5461
2000-02-15,6.3927
2000-02-16,-4.9356
2000-02-17,-2.9345
2000-02-18,-3.7209
2000-02-22,-1.2077
2000-02-23,12.4694
2000-02-24,15.0
2000-02-25,-4.7259
2000-02-28,0.7937
2000-02-29,7.874
2000-03-01,-4.0146
2000-03-02,3.4221
2000-03-03,0.7353
2000-03-06,-1.6423
2000-03-07,4.6382
2000-03-08,2.4823
2000-03-09,8.9965
2000-03-10,-0.9524
2000-03-13,-10.2564
2000-03-14,-13.9286
2000-03-15,12.4481
2000-03-16,3.1365
2000-03-17,9.3023
2000-03-20,-10.311
2000-03-21,1.6423
2000-03-22,0.3591
2000-03-23,-5.5456
2000-03-24,12.3106
2000-03-27,2.5295
2000-03-28,-5.9211
2000-03-29,-3.6713
2000-03-30,-9.2559
2000-03-31,2.0
2000-04-03,-18.8235
2000-04-04,-13.0435
2000-04-05,14.4444
2000-04-06,14.8058
2000-04-07,-2.537
2000-04-10,-12.1475
2000-04-11,-3.7037
2000-04-12,-11.7949
2000-04-13,-2.3256
2000-04-14,-14.5833
2000-04-17,5.9233
2000-04-18,21.0526
2000-04-19,2.7174
2000-04-20,-8.4656
2000-04-24,2.8902
2000-04-25,12.3596
2000-04-26,-7.25
2000-04-27,12.1294
2000-04-28,9.375
2000-05-01,-3.2967
2000-05-02,-15.4545
2000-05-03,-5.1075
2000-05-04,-3.6827
2000-05-05,7.6471
2000-05-08,-1.9125999999999999
2000-05-09,0.0
2000-05-10,-6.9638
2000-05-11,0.0
2000-05-12,11.3772
2000-05-15,4.0323
2000-05-16,9.5607
2000-05-17,5.6604
2000-05-18,-14.0625
2000-05-19,-12.7273
2000-05-22,-9.2262
2000-05-23,-5.9016
