ticker,NMEX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-09-14,5.2632
2009-09-15,25.0
2009-11-04,-20.0
2009-11-05,50.0
2009-11-27,16.6667
2009-12-02,0.0
2009-12-18,8.5714
2009-12-31,-22.3684
2010-01-15,0.0
2010-01-19,1.6949
2010-01-28,-6.6667
2010-04-08,-46.4286
2010-04-09,33.3333
2010-05-06,0.0
2010-05-07,0.0
2011-05-11,-10.0
2011-05-31,0.0
2012-03-02,11.1111
2012-03-09,200.0
2012-03-30,-66.6667
2012-05-08,-10.0
2012-05-11,0.0
2012-08-13,177.7778
2012-08-14,40.0
2012-08-15,0.0
2012-08-16,0.0
2012-08-17,0.0
2012-08-20,5.7143
2012-08-21,21.6216
2012-08-22,-4.4444
2012-08-23,11.6279
2012-08-24,1.0417
2012-08-27,13.4021
2012-08-28,1.8182
2012-08-29,8.0357
2012-08-30,4.1322
2012-08-31,-0.7937
2012-09-04,-2.4
2012-09-05,2.459
2012-09-06,4.8
2012-09-07,2.2901
2012-09-10,14.9254
2012-09-11,-0.6494
2012-09-12,0.6536
2012-09-13,2.5974
2012-09-14,1.2658
2012-09-17,-1.875
2012-09-18,-1.2739
2012-09-19,0.0
2012-09-20,0.6452
2012-09-21,0.0
2012-09-24,-0.641
2012-09-25,-73.5484
2012-09-26,-9.7561
2012-09-27,10.8108
2012-09-28,14.6341
2012-10-01,-25.5319
2012-10-02,11.4286
2012-10-03,-2.5641
2012-10-04,-5.2632
2012-10-05,-5.5556
2012-10-08,-5.8824
2012-10-09,6.25
2012-10-10,2.9412000000000003
2012-10-11,-61.4643
2012-10-12,-13.531
2012-10-15,-1.3934
2012-10-16,-21.7391
2012-10-17,-22.0833
2012-10-18,21.2121
2012-10-19,5.8824
2012-10-22,16.6667
2012-10-23,-0.9524
2012-10-24,-8.6538
2012-10-25,5.2632
2012-10-26,10.0
2012-10-31,4.5455
2012-11-01,13.0435
2012-11-02,15.288499999999999
2012-11-05,-19.9333
2012-11-06,8.3333
2012-11-07,3.8462
2012-11-08,-3.7037
2012-11-09,-15.3846
2012-11-12,-4.5455
2012-11-13,-14.2857
2012-11-14,19.0278
2012-11-15,10.7351
2012-11-16,-7.2708
2012-11-19,34.5455
2012-11-20,4.7297
2012-11-21,41.9355
2012-11-23,0.0
2012-11-26,0.0
2012-11-27,1.9034
2012-11-28,24.8955
2012-11-29,17.8571
2012-11-30,-9.0909
2012-12-03,-3.3333
2012-12-04,-31.0345
2012-12-05,0.0
2012-12-06,-19.0
