ticker,INFN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-07,51.5769
2007-06-08,27.6833
2007-06-11,-0.7949
2007-06-12,-3.6058
2007-06-13,-0.4988
2007-06-14,0.4595
2007-06-15,12.474
2007-06-18,-1.6636
2007-06-19,-7.4812
2007-06-20,-2.6006
2007-06-21,0.292
2007-06-22,1.5391
2007-06-25,-2.7038
2007-06-26,-0.0421
2007-06-27,0.674
2007-06-28,11.8828
2007-06-29,-6.8063
2007-07-02,-4.2536
2007-07-03,-2.2213
2007-07-05,-4.2435
2007-07-06,3.1782
2007-07-09,5.3796
2007-07-10,2.923
2007-07-11,-0.04
2007-07-12,-0.3601
2007-07-13,3.2932
2007-07-16,-7.4655000000000005
2007-07-17,-2.0583
2007-07-18,-0.0858
2007-07-19,-4.0361
2007-07-20,3.8031
2007-07-23,0.431
2007-07-24,0.0
2007-07-25,2.0172
2007-07-26,-1.3462
2007-07-27,-5.5011
2007-07-30,4.0614
2007-07-31,-1.1275
2007-08-01,-11.7105
2007-08-02,0.6955
2007-08-03,-1.0366
2007-08-06,1.197
2007-08-07,-0.8867
2007-08-08,3.8767
2007-08-09,1.3397000000000001
2007-08-10,-6.3739
2007-08-13,-2.2189
2007-08-14,-2.3208
2007-08-15,-5.0686
2007-08-16,-4.2269
2007-08-17,4.4715
2007-08-20,0.0556
2007-08-21,-0.7778
2007-08-22,0.224
2007-08-23,-1.6200999999999999
2007-08-24,3.5775
2007-08-27,-3.7829
2007-08-28,-2.2222
2007-08-29,5.1282
2007-08-30,0.7761
2007-08-31,5.9406
2007-09-04,-0.6231
2007-09-05,-0.1567
2007-09-06,-3.192
2007-09-07,-2.4324
2007-09-10,-1.662
2007-09-11,1.9718
2007-09-12,-2.7624
2007-09-13,-3.0682
2007-09-14,-2.1688
2007-09-17,1.9173
2007-09-18,0.2352
2007-09-19,0.2933
2007-09-20,2.3977
2007-09-21,7.3672
2007-09-24,-2.6596
2007-09-25,3.3333
2007-09-26,5.0238
2007-09-27,5.9416
2007-09-28,-4.23
2007-10-01,3.4739
2007-10-02,7.7692
2007-10-03,4.451
2007-10-04,-1.1504
2007-10-05,5.431
2007-10-08,5.928
2007-10-09,-3.2034
2007-10-10,-0.319
2007-10-11,-4.12
2007-10-12,1.7105000000000001
2007-10-15,1.3126
2007-10-16,-0.9312
2007-10-17,-0.7765
2007-10-18,2.7183
2007-10-19,0.0401
2007-10-22,2.6854
2007-10-23,4.0593
2007-10-24,-9.9775
2007-10-25,-2.9583
