ticker,RRBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-03,11.6667
2019-05-06,-3.7015000000000002
2019-05-07,-0.2893
2019-05-08,3.8548999999999998
2019-05-09,-1.1175
2019-05-10,2.4218
2019-05-13,-0.1182
2019-05-14,-0.3946
2019-05-15,0.0792
2019-05-16,0.1385
2019-05-20,-1.3043
2019-05-21,-0.4405
2019-05-22,0.0805
2019-05-23,-3.135
2019-05-24,0.4979
2019-05-28,1.1561
2019-05-29,0.0
2019-05-30,0.0
2019-05-31,-0.449
2019-06-03,0.3895
2019-06-04,-1.9604
2019-06-05,0.1041
2019-06-06,0.7074
2019-06-07,-0.2893
2019-06-10,0.0932
2019-06-11,-0.5279
2019-06-12,1.9771
2019-06-13,-1.5306
2019-06-14,-0.3109
2019-06-17,-0.5821
2019-06-18,0.0836
2019-06-19,0.397
2019-06-20,-0.4787
2019-06-21,-0.0418
2019-06-24,0.2092
2019-06-25,0.7307
2019-06-26,-0.3109
2019-06-27,-0.2079
2019-06-28,0.9375
2019-07-01,-0.6192
2019-07-02,1.5992
2019-07-03,-2.1872
2019-07-05,1.8599999999999999
2019-07-08,-1.0669
2019-07-09,0.5599
2019-07-10,-0.763
2019-07-11,0.7689
2019-07-12,0.0
2019-07-15,-1.093
2019-07-16,0.2711
2019-07-17,-0.5614
2019-07-18,0.3764
2019-07-22,0.0
2019-07-23,0.1042
2019-07-24,-0.1041
2019-07-25,-0.6042
2019-07-26,-0.6498
2019-07-29,1.2658
2019-07-30,-0.5417
2019-07-31,-1.2987
2019-08-01,-0.1486
2019-08-02,0.1063
2019-08-05,-1.2739
2019-08-06,-0.3226
2019-08-07,-0.6041
2019-08-08,0.4124
2019-08-09,-0.8582
2019-08-12,-1.5328
2019-08-13,2.6129
2019-08-14,-0.9711
2019-08-15,-1.7215
2019-08-16,0.0
2019-08-19,0.4435
2019-08-20,-0.2428
2019-08-21,0.1328
2019-08-22,0.0
2019-08-23,-0.1105
2019-08-26,0.4425
2019-08-27,-1.1894
2019-08-28,0.3121
2019-08-29,-1.9556
2019-08-30,-3.1052
2019-09-03,0.1637
2019-09-04,2.2887
2019-09-05,-1.8265
2019-09-06,2.5581
2019-09-09,-1.0771
2019-09-10,0.2865
2019-09-11,-1.4857
2019-09-12,0.232
2019-09-13,-0.4167
2019-09-16,0.0465
2019-09-17,-0.0465
2019-09-18,0.186
2019-09-19,-0.0928
2019-09-20,0.8477
2019-09-23,-0.7484
2019-09-24,-0.1624
2019-09-25,0.1627
