ticker,LATNU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-10-18,1.0
2019-10-21,-0.198
2019-10-22,0.0
2019-10-23,-0.0992
2019-10-24,0.0
2019-10-25,0.0
2019-10-28,-0.0993
2019-10-29,0.0
2019-10-30,0.2982
2019-10-31,-0.0991
2019-11-01,0.0
2019-11-04,0.1984
2019-11-05,-0.198
2019-11-06,-0.3333
2019-11-07,0.0368
2019-11-08,-0.0716
2019-11-11,0.0807
2019-11-13,0.0567
2019-11-14,-0.0666
2019-11-15,0.4975
2019-11-18,-0.099
2019-11-19,-0.1982
2019-11-20,0.0
2019-11-21,-0.1986
2019-11-22,0.0
2019-11-25,0.398
2019-11-26,-0.0991
2019-11-27,0.0
2019-11-29,0.1488
2019-12-02,-0.0495
2019-12-03,0.0
2019-12-04,-0.1982
2019-12-05,0.2979
2019-12-06,0.0
2019-12-09,0.495
2019-12-11,0.001
2019-12-12,0.2946
2019-12-13,0.0
2019-12-20,0.4361
2019-12-27,-0.3365
2020-01-02,0.5888
2020-01-03,0.0
2020-01-08,-0.1512
2020-01-09,0.1514
2020-01-13,0.0
2020-01-15,0.1951
2020-01-17,0.0
2020-01-21,-0.0623
2020-01-27,0.3547
2020-01-28,0.0971
2020-01-30,0.388
2020-01-31,-0.1894
2020-02-06,-1.0687
2020-02-07,0.7945
2020-02-10,-0.0116
2020-02-11,0.1068
2020-02-12,0.1067
2020-02-13,-0.2131
2020-02-14,0.0
2020-02-18,0.1029
2020-02-20,0.4791
2020-02-21,-0.1892
2020-02-24,0.0928
2020-02-26,0.0
2020-02-27,-0.2899
2020-03-02,-0.1938
2020-03-04,-0.0971
2020-03-05,-0.5831
2020-03-09,-0.4888
2020-03-10,0.0982
2020-03-11,-1.7664
2020-03-12,-0.8492
2020-03-13,0.7557
2020-03-16,-0.8
2020-03-17,0.1089
2020-03-18,0.6968
2020-03-19,-1.1
2020-03-24,-1.3145
2020-03-31,0.0
2020-04-02,0.0
2020-04-16,0.4098
2020-04-23,2.7551
2020-05-21,-0.5958
2020-05-22,-0.0999
2020-06-04,0.1
2020-06-09,0.3996
2020-06-11,1.4925
2020-06-12,-1.8627
2020-06-18,0.3996
2020-06-19,3.3830999999999998
2020-06-23,-0.0962
2020-06-26,-1.4933
2020-07-02,0.2445
2020-07-06,1.1707
2020-07-09,-1.1572
2020-07-13,0.9756
2020-07-16,-0.6763
2020-07-17,0.6809
2020-07-23,-0.9662
2020-07-27,0.0
