ticker,RGS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3113
2000-01-04,-3.7671
2000-01-05,2.847
2000-01-06,-0.346
2000-01-07,3.4722
2000-01-10,-0.5034
2000-01-11,-6.2395
2000-01-12,1.7986
2000-01-13,-1.4134
2000-01-14,0.0
2000-01-18,2.509
2000-01-19,1.7483
2000-01-20,-1.3746
2000-01-21,0.0
2000-01-24,0.3484
2000-01-25,0.0
2000-01-26,0.0
2000-01-27,-1.3889
2000-01-28,0.5282
2000-01-31,-1.2259
2000-02-01,-0.7092
2000-02-02,0.3571
2000-02-03,-0.3559
2000-02-04,-0.7143
2000-02-07,-3.5971
2000-02-08,4.4776
2000-02-09,-8.5714
2000-02-10,-3.125
2000-02-11,-2.8226
2000-02-14,6.2241
2000-02-15,3.125
2000-02-16,-8.7121
2000-02-17,1.2448
2000-02-18,-2.0492
2000-02-22,-1.2551999999999999
2000-02-23,-4.2373
2000-02-24,-3.0973
2000-02-25,3.4247
2000-02-28,6.1722
2000-02-29,3.3333
2000-03-01,6.0484
2000-03-02,-1.1407
2000-03-03,2.3077
2000-03-06,-9.7744
2000-03-07,-1.6667
2000-03-08,2.1186
2000-03-09,-0.4149
2000-03-10,-1.6667
2000-03-13,-0.4237
2000-03-14,-1.2766
2000-03-15,8.1897
2000-03-16,5.1793
2000-03-17,0.3788
2000-03-20,-5.283
2000-03-21,1.992
2000-03-22,0.7813
2000-03-23,-2.7132
2000-03-24,1.1952
2000-03-27,0.0
2000-03-28,-6.6929
2000-03-29,1.6878
2000-03-30,-0.4149
2000-03-31,-1.25
2000-04-03,8.4388
2000-04-04,7.393
2000-04-05,3.2609
2000-04-06,-2.1053
2000-04-07,-2.509
2000-04-10,-0.3676
2000-04-11,-1.107
2000-04-12,-0.7463
2000-04-13,-3.7594
2000-04-14,0.3906
2000-04-17,0.0
2000-04-18,0.0
2000-04-19,-2.7237
2000-04-20,2.8
2000-04-24,-1.9455
2000-04-25,-31.3492
2000-04-26,2.8902
2000-04-27,4.4944
2000-04-28,0.5376
2000-05-01,2.6738
2000-05-02,0.0
2000-05-03,-1.0417
2000-05-04,1.5789
2000-05-05,6.2176
2000-05-08,4.3902
2000-05-09,-0.4673
2000-05-10,-2.8169
2000-05-11,2.1643
2000-05-12,-1.4218
2000-05-15,-3.3654
2000-05-16,2.4876
2000-05-17,-2.9126
2000-05-18,-5.0
2000-05-19,2.1053
2000-05-22,2.0619
2000-05-23,-1.5152
2000-05-24,4.6154
