ticker,FMAO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-10,5.0708
2005-01-13,0.0
2005-01-14,-8.6957
2005-01-27,7.1429
2005-02-01,-2.2222
2005-02-03,4.5455
2005-02-04,-4.3478
2005-02-07,0.0
2005-02-11,4.5455
2005-02-22,-4.3478
2005-03-11,0.0
2005-03-21,0.0
2005-03-24,2.2727
2005-03-30,-1.8295
2005-04-06,4.5455
2005-04-07,0.0
2005-04-13,0.0
2005-04-14,0.0
2005-04-26,-4.3478
2005-05-03,3.6364
2005-05-04,0.0
2005-05-11,0.8772
2005-05-12,0.0
2005-05-13,-4.3478
2005-05-16,4.5455
2005-05-17,-4.3478
2005-05-19,4.5455
2005-05-26,-3.4783
2005-05-27,0.0
2005-06-07,0.0
2005-06-10,0.0
2005-06-13,2.2523
2005-06-22,-2.6978999999999997
2005-06-29,0.0
2005-07-12,0.0
2005-07-20,2.2727
2005-08-04,2.2222
2005-08-19,-4.3478
2005-09-02,0.0
2005-09-06,2.7273
2005-09-08,-0.4425
2005-09-09,-1.3333
2005-09-14,-8.7838
2005-09-19,0.0
2005-09-26,1.6865
2005-09-27,2.439
2005-09-28,-2.8571
2005-10-13,-11.7647
2005-10-14,-2.2222
2005-10-27,13.6364
2005-11-04,-18.75
2005-11-08,3.3846
2005-11-10,3.5714
2005-11-14,5.7471
2005-11-18,3.2609
2005-11-22,2.1053
2005-11-28,-5.1546
2005-11-29,8.6957
2005-11-30,-8.0
2005-12-09,-1.087
2005-12-15,1.2728
2005-12-20,1.5301
2005-12-28,-2.439
2005-12-30,0.0
2006-01-03,0.0
2006-01-09,-1.1111
2006-01-11,0.0
2006-01-13,-0.5618
2006-01-24,-0.565
2006-01-27,-0.8523
2006-01-31,-0.2865
2006-02-01,1.7241
2006-02-24,0.565
2006-02-27,0.0
2006-02-28,-1.1236
2006-03-03,3.9773
2006-03-13,0.0
2006-03-15,-3.2787
2006-03-17,3.3898
2006-03-24,-2.7473
2006-03-29,3.3898
2006-04-04,-1.6393
2006-04-17,0.0
2006-05-04,5.5556
2006-05-08,0.0
2006-05-15,9.473700000000001
2006-05-16,-7.6923
2006-05-17,-4.1667
2006-05-18,0.0
2006-05-19,1.087
2006-05-22,0.8602
2006-05-25,-1.7058
2006-05-31,0.0
2006-06-06,-0.2169
2006-06-09,-3.2609
2006-06-13,5.618
2006-06-14,-2.1277
2006-06-16,0.4348
2006-06-19,-2.5974
2006-06-22,5.1454
2006-06-29,-2.1277
2006-06-30,0.0
