ticker,CLDR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-28,20.6667
2017-05-01,0.4972
2017-05-02,1.0995
2017-05-03,9.4073
2017-05-04,-2.6839
2017-05-05,1.9918
2017-05-08,-1.9029
2017-05-09,2.3481
2017-05-10,-0.2993
2017-05-11,-0.2501
2017-05-12,4.3129
2017-05-15,2.6442
2017-05-16,-1.7799
2017-05-17,-4.1488
2017-05-18,0.0498
2017-05-19,-0.4973
2017-05-22,4.4978
2017-05-23,3.252
2017-05-24,4.4465
2017-05-25,-0.8426
2017-05-26,-0.3131
2017-05-30,-3.4993
2017-05-31,-3.5332
2017-06-01,5.3494
2017-06-02,4.6203
2017-06-05,-1.3555
2017-06-06,0.0443
2017-06-07,0.1772
2017-06-08,1.6806999999999999
2017-06-09,-15.572
2017-06-12,-4.7913
2017-06-13,-3.6254999999999997
2017-06-14,-5.2218
2017-06-15,-4.5616
2017-06-16,8.0074
2017-06-19,0.4023
2017-06-20,-0.9159
2017-06-21,-1.6753
2017-06-22,-1.7626
2017-06-23,-2.2129
2017-06-26,-0.7339
2017-06-27,-1.4171
2017-06-28,-1.0
2017-06-29,-1.0101
2017-06-30,2.1684
2017-07-03,-1.1236
2017-07-05,0.2525
2017-07-06,3.7154
2017-07-07,1.1536
2017-07-10,-1.6206
2017-07-11,-0.3051
2017-07-12,0.918
2017-07-13,0.2426
2017-07-14,2.9038
2017-07-17,5.9376999999999995
2017-07-18,1.2764
2017-07-19,2.9041
2017-07-20,0.1065
2017-07-21,-2.9255
2017-07-24,2.7397
2017-07-25,1.0667
2017-07-26,-1.847
2017-07-27,-4.3011
2017-07-28,1.8538999999999999
2017-07-31,-4.8538
2017-08-01,-1.1014
2017-08-02,0.8792
2017-08-03,0.2905
2017-08-04,0.0579
2017-08-07,0.2316
2017-08-08,-0.0578
2017-08-09,-0.0578
2017-08-10,-2.3135
2017-08-11,1.421
2017-08-14,4.2032
2017-08-15,-1.1764999999999999
2017-08-16,1.4739
2017-08-17,-1.9553
2017-08-18,-0.3989
2017-08-21,-1.4302000000000001
2017-08-22,2.4956
2017-08-23,-0.3398
2017-08-24,3.4091
2017-08-25,0.5495
2017-08-28,1.4208
2017-08-29,-0.2155
2017-08-30,0.108
2017-08-31,4.6386
2017-09-01,-0.8763
2017-09-05,4.2122
2017-09-06,5.0399
2017-09-07,1.7102
2017-09-08,-1.9617
2017-09-11,-10.4335
2017-09-12,0.4255
2017-09-13,1.0593
2017-09-14,-0.9434
