ticker,LUSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-05,13.0
2011-04-06,3.5398
2011-04-07,0.0
2011-04-08,0.0
2011-04-11,6.8376
2011-04-13,0.0
2011-04-15,2.4
2011-04-18,0.0
2011-04-20,7.8125
2011-04-27,0.0
2011-04-29,5.7971
2011-05-13,1.3699
2011-05-18,-5.4054
2011-05-26,0.0
2011-05-27,5.7143
2011-05-31,-18.9189
2011-06-06,23.3333
2011-06-08,-2.027
2011-06-09,3.4483
2011-06-10,-33.3333
2011-06-14,1.0
2011-06-21,18.8119
2011-07-06,-57.5
2011-07-12,84.3137
2011-07-13,7.4468
2011-07-14,0.0
2011-07-26,-80.198
2011-07-28,-5.0
2011-08-02,5.2632
2011-08-09,15.0
2011-08-10,4.3478
2011-08-11,0.0
2011-08-15,0.0
2011-08-16,25.0
2011-08-17,36.6667
2011-08-18,-34.1463
2011-08-19,0.0
2011-08-22,10.7407
2011-08-23,-33.0477
2011-08-24,-5.089
2011-08-25,0.0
2011-08-26,-1.0526
2011-08-29,-33.5106
2011-08-30,-8.0
2011-08-31,-8.6957
2011-09-01,-4.7619
2011-09-02,0.0
2011-09-06,-26.5
2011-09-07,8.8435
2011-09-09,-1.6406
2011-09-12,1.6680000000000001
2011-09-13,7.5
2011-09-14,-30.2326
2011-09-15,8.3333
2011-09-16,-20.7692
2011-09-19,-2.9126
2011-09-20,-17.0
2011-09-21,4.8193
2011-09-22,60.9195
2011-09-23,-38.5714
2011-09-26,-16.2791
2011-09-27,-41.3194
2011-09-28,37.2781
2011-09-29,-17.2414
2011-09-30,-8.3333
2011-10-03,-29.5455
2011-10-04,61.2903
2011-10-05,40.0
2011-10-06,-14.2857
2011-10-07,-6.6667
2011-10-10,-10.7143
2011-10-11,0.0
2011-10-12,0.0
2011-10-13,-12.0
2011-10-14,0.0
2011-10-17,-4.5455
2011-10-19,-28.5714
2011-10-20,0.0
2011-10-21,33.3333
2011-10-24,-25.0
2011-10-25,0.0
2011-10-26,6.6667
2011-10-27,0.0
2011-10-28,-17.5781
2011-10-31,6.1611
2011-11-01,39.2857
2011-11-02,-2.5641
2011-11-03,73.6842
2011-11-04,15.1515
2011-11-07,0.0
2011-11-08,5.2632
2011-11-09,0.0
2011-11-10,22.5
2011-11-11,7.1429
2011-11-14,-23.8095
2011-11-15,-12.5
2011-11-16,20.0
2011-11-17,-23.8095
2011-11-18,-3.125
2011-11-21,-29.0323
2011-11-22,-9.0909
2011-11-23,0.0
