ticker,BASX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-28,-5.6389
2016-12-29,4.1802
2016-12-30,-0.113
2017-01-03,0.8487
2017-01-04,2.6928
2017-01-05,-0.7921
2017-01-06,-0.9086
2017-01-09,1.4447999999999999
2017-01-10,-0.493
2017-01-11,-1.0184
2017-01-12,-0.723
2017-01-13,-0.9804
2017-01-17,7.7511
2017-01-18,2.1003
2017-01-19,3.0342
2017-01-20,4.9663
2017-01-23,-4.1132
2017-01-24,0.6943
2017-01-25,0.394
2017-01-26,2.6
2017-01-27,0.0956
2017-01-30,-1.7913000000000001
2017-01-31,-0.608
2017-02-01,1.9085
2017-02-02,-3.1453
2017-02-03,1.9336
2017-02-06,2.286
2017-02-07,-0.0476
2017-02-08,-0.6898
2017-02-09,0.5988
2017-02-10,3.0952
2017-02-13,2.7714
2017-02-14,-2.0674
2017-02-15,-3.5796
2017-02-16,-0.4998
2017-02-17,-2.4874
2017-02-21,3.0169
2017-02-22,-0.2381
2017-02-23,-4.6301
2017-02-24,-4.8549
2017-02-27,6.3914
2017-02-28,-2.6452
2017-03-01,-1.1427
2017-03-02,-1.5412
2017-03-03,-2.4263
2017-03-06,-0.2941
2017-03-07,-3.7007
2017-03-08,-9.0504
2017-03-09,-5.2358
2017-03-10,3.1018
2017-03-13,-1.2222
2017-03-14,-3.8388
2017-03-15,9.2049
2017-03-16,4.0181
2017-03-17,5.0247
2017-03-20,-4.4248
2017-03-21,-3.9641
2017-03-22,-1.8679999999999999
2017-03-23,2.0264
2017-03-24,-4.6043
2017-03-27,-3.5962
2017-03-28,3.2723
2017-03-29,-1.7109999999999999
2017-03-30,0.3224
2017-03-31,7.1979
2017-04-03,-1.6487
2017-04-04,0.0
2017-04-05,-0.3048
2017-04-06,0.642
2017-04-07,-1.9137
2017-04-10,4.8002
2017-04-11,1.2116
2017-04-12,1.9854
2017-04-13,-3.006
2017-04-17,-3.4829
2017-04-18,1.1009
2017-04-19,-6.6243
2017-04-20,-0.6155
2017-04-21,-0.0652
2017-04-24,-3.7834
2017-04-25,0.339
2017-04-26,-0.5068
2017-04-27,-6.2139
2017-04-28,-1.6293
2017-05-01,-2.466
2017-05-02,-0.1509
2017-05-03,-0.1512
2017-05-04,-3.4065
2017-05-05,5.29
2017-05-08,1.5631
2017-05-09,-0.1832
2017-05-10,6.7548
2017-05-11,-1.7194
2017-05-12,-2.0644
2017-05-15,-0.3573
2017-05-16,-0.5378
2017-05-17,-2.8118
2017-05-18,0.8902
