ticker,NWGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-14,577.4194
2004-10-15,100.0
2004-10-18,0.0
2004-10-19,8.3333
2004-10-20,55.3846
2004-10-21,0.0
2004-10-22,3.9604
2004-10-25,88.5714
2004-10-26,26.2626
2004-10-27,74.0
2004-10-28,10.3448
2004-10-29,19.7917
2004-11-01,1.7391
2004-11-02,0.8547
2004-11-04,8.4746
2004-11-05,8.5938
2004-11-08,18.705
2004-11-09,6.6667
2004-11-10,2.8409
2004-11-11,10.4972
2004-11-12,-1.0
2004-11-15,3.5354
2004-11-16,2.9268
2004-11-17,4.7393
2004-11-18,1.81
2004-11-19,-2.2222
2004-11-22,-15.9091
2004-11-23,-27.5676
2004-11-24,-1.4925
2004-11-26,-8.3333
2004-11-29,-66.9421
2004-11-30,112.5
2004-12-01,64.4706
2004-12-02,-3.4335
2004-12-03,-25.9259
2004-12-07,-10.0
2004-12-08,-22.2222
2004-12-09,-14.2857
2004-12-13,0.0
2004-12-15,13.3333
2004-12-17,-11.7647
2004-12-20,86.6667
2004-12-21,-3.5714
2004-12-22,6.4815
2004-12-23,13.0435
2004-12-27,-0.7692
2004-12-28,-5.4264
2004-12-29,6.5574
2004-12-30,3.0769
2005-01-03,0.7463
2005-01-04,-11.1111
2005-01-05,4.1667
2005-01-06,-4.0
2005-01-07,-33.3333
2005-01-10,25.0
2005-01-11,-1.6
2005-01-12,1.626
2005-01-13,-10.0
2005-01-14,-10.8889
2005-01-18,5.985
2005-01-19,11.7647
2005-01-20,-16.8421
2005-01-21,5.0633
2005-01-24,-18.0723
2005-01-25,-10.2941
2005-01-26,0.0
2005-01-27,-1.6393
2005-01-28,-3.0
2005-01-31,-36.0825
2005-02-01,-43.5484
2005-02-02,38.0952
2005-02-03,-17.2414
2005-02-04,6.6667
2005-02-07,-32.0313
2005-02-08,11.4943
2005-02-09,-10.3093
2005-02-10,-6.8966
2005-02-11,-4.9383
2005-02-14,9.0909
2005-02-15,-2.3810000000000002
2005-02-16,-20.7317
2005-02-17,-4.6154
2005-02-18,-51.6129
2005-02-22,-10.0
2005-02-23,-37.037
2005-02-24,88.2353
2005-02-25,9.375
2005-02-28,-2.8571
2005-03-01,-11.7647
2005-03-02,-20.0
2005-03-03,8.3333
2005-03-04,15.3846
2005-03-07,-3.3333
2005-03-08,-13.7931
2005-03-09,8.0
2005-03-10,11.1111
2005-03-11,-23.3333
2005-03-14,4.3478
2005-03-15,-24.5833
2005-03-16,-3.3149
