ticker,LOOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-16,-40.0
2015-11-17,16.6667
2015-11-18,1.4285999999999999
2015-11-19,2.8169
2015-11-20,2.7397
2015-11-23,0.0
2015-11-24,1.3333
2015-11-25,3.9474
2015-11-27,-5.0633
2015-11-30,-6.6667
2015-12-01,12.857099999999999
2015-12-02,1.2658
2015-12-03,-5.0
2015-12-04,-7.6316
2015-12-08,7.4074
2015-12-09,-0.5305
2015-12-10,5.0667
2015-12-11,-8.3756
2015-12-14,9.4183
2015-12-15,-6.3418
2015-12-16,-1.338
2015-12-18,8.2192
2015-12-21,-0.2532
2015-12-22,-4.8223
2015-12-23,0.0
2015-12-29,4.8
2015-12-30,0.0
2016-01-04,7.888
2016-01-05,-6.8396
2016-01-06,-1.5190000000000001
2016-01-08,-4.8843
2016-01-11,0.0
2016-01-14,-9.4595
2016-01-15,-4.4776
2016-01-19,-6.25
2016-01-20,-0.3333
2016-01-21,4.0134
2016-01-22,-11.5756
2016-01-25,16.3636
2016-01-26,-1.5625
2016-01-27,8.8889
2016-01-28,1.7492999999999999
2016-01-29,0.0
2016-02-01,-8.3095
2016-02-02,15.625
2016-02-03,-2.7027
2016-02-05,-0.2778
2016-02-09,0.0
2016-02-10,-2.7855
2016-02-11,0.0
2016-02-12,0.2865
2016-02-16,0.0
2016-02-17,11.4286
2016-02-19,-0.2564
2016-02-22,-2.8278
2016-02-24,-4.7619
2016-02-25,8.3333
2016-02-26,2.0513
2016-03-01,-12.0603
2016-03-02,13.7143
2016-03-03,0.0
2016-03-04,0.0
2016-03-09,6.7839
2016-03-10,-4.7059
2016-03-16,6.1728
2016-03-23,0.0
2016-03-28,-18.6047
2016-04-05,20.0
2016-04-08,0.0
2016-04-11,-5.4762
2016-04-12,0.7557
2016-04-13,0.0
2016-04-15,0.0
2016-04-20,-0.25
2016-04-21,0.2506
2016-04-22,-0.0031
2016-04-27,0.0031
2016-04-28,0.0
2016-04-29,6.0
2016-05-09,-4.4811
2016-05-10,8.642
2016-05-11,2.0455
2016-05-12,0.0
2016-05-18,-8.686
2016-05-20,2.439
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-27,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-06,-16.6667
2016-06-07,20.0
2016-06-08,-3.5714
2016-06-09,3.4568
2016-06-10,19.3317
2016-06-13,0.0
2016-06-14,0.0
2016-06-16,-10.0
2016-06-17,33.1111
