ticker,VRTY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-08-25,150.0
2009-08-26,0.0
2009-10-13,920.0
2009-10-15,-90.1961
2009-10-21,0.0
2009-10-22,0.0
2009-11-13,0.0
2009-11-18,0.0
2009-12-29,-58.0
2010-01-20,0.0
2010-01-22,42.8571
2010-02-26,66.6667
2010-03-02,0.0
2010-03-25,0.25
2010-03-30,19.7007
2010-03-31,-16.6667
2010-04-01,20.0
2010-04-08,-63.3333
2010-04-16,581.8182
2010-04-19,0.0
2010-04-23,-66.6667
2010-04-26,200.0
2010-05-05,-66.6667
2010-05-27,98.0
2010-05-28,-59.596
2010-06-02,0.0
2010-06-09,575.0
2010-06-11,-7.4074
2010-06-14,-16.0
2010-06-15,-4.7619
2010-06-16,-11.5625
2010-06-17,-15.1943
2010-06-18,20.0
2010-06-22,0.0
2010-06-24,-44.4444
2010-06-29,0.0
2010-06-30,-6.25
2010-07-09,-14.6667
2010-07-19,-37.5
2010-07-20,-20.0
2010-07-23,25.0
2010-07-26,440.0
2010-08-03,-77.7778
2010-08-13,150.0
2010-08-18,-6.6667
2010-08-20,-42.8571
2010-08-24,-71.0938
2010-08-25,-13.5135
2010-08-26,-65.625
2010-08-27,90.9091
2010-08-30,1652.381
2010-08-31,-53.5326
2010-09-01,-45.614
2010-09-02,-5.3763
2010-09-03,-5.6818
2010-09-07,-15.6627
2010-09-08,-1.4285999999999999
2010-09-09,39.1304
2010-09-10,-8.3333
2010-09-13,-32.9545
2010-09-14,27.1186
2010-09-15,-14.6667
2010-09-16,25.0
2010-09-17,-20.0
2010-09-20,-12.5
2010-09-21,0.0
2010-09-23,0.0
2010-09-24,-5.3571
2010-09-27,5.6604
2010-09-30,-5.3571
2010-10-01,0.0
2010-10-04,0.0
2010-10-05,0.0
2010-10-06,-9.434
2010-10-07,-6.25
2010-10-08,0.0
2010-10-11,0.0
2010-10-12,-17.7778
2010-10-15,16.2162
2010-10-19,11.6279
2010-10-20,-16.6667
2010-10-22,0.0
2010-10-25,0.0
2010-10-27,-5.0
2010-10-29,5.2632
2010-11-01,127.5
2010-11-02,93.4066
2010-11-03,-22.7273
2010-11-04,-21.3235
2010-11-05,-2.8037
2010-11-08,0.0
2010-11-09,-7.6923
2010-11-10,-16.6667
2010-11-11,0.0
2010-11-12,20.0
2010-11-16,0.0
2010-11-17,-5.2083
2010-11-18,-12.0879
2010-11-19,13.75
2010-11-22,-17.5824
2010-11-23,20.0
2010-11-24,24.4444
2010-11-26,0.0
