ticker,UNTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.5455
2000-01-05,0.0
2000-01-12,-0.5952
2000-01-14,0.0
2000-01-18,0.0
2000-01-20,-1.7964
2000-01-24,-2.439
2000-01-26,5.0
2000-01-27,0.0
2000-02-01,-4.7619
2000-02-02,-2.5
2000-02-03,2.5641
2000-02-07,-2.5
2000-02-09,0.0
2000-02-10,1.2821
2000-02-14,3.7975
2000-02-15,-1.2195
2000-02-16,3.0864
2000-02-18,-1.7964
2000-02-23,2.439
2000-02-25,0.0
2000-02-28,1.1905000000000001
2000-03-21,-1.7647
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,0.0
2000-03-31,0.5988
2000-04-03,-0.5952
2000-04-05,0.0
2000-04-07,0.0
2000-04-11,0.0
2000-04-18,0.0
2000-04-25,0.0
2000-05-03,0.2994
2000-05-04,-0.2985
2000-05-05,1.7964
2000-05-08,-1.7647
2000-05-09,0.0
2000-05-11,2.3428
2000-05-12,0.0
2000-05-15,0.0
2000-05-16,-2.4096
2000-05-17,0.0
2000-05-19,2.4691
2000-05-24,0.0
2000-05-26,0.0
2000-05-30,-2.4096
2000-05-31,2.4691
2000-06-01,-1.2048
2000-06-05,0.0
2000-06-09,0.0
2000-06-12,0.0
2000-06-13,0.3049
2000-06-15,-0.304
2000-06-19,0.0
2000-06-29,-1.2195
2000-07-06,1.2346
2000-07-17,-1.2195
2000-07-18,-0.6173
2000-07-19,1.8634
2000-07-20,-2.439
2000-07-26,3.125
2000-07-31,-3.0303
2000-08-04,1.25
2000-08-10,0.0
2000-08-15,0.0
2000-08-16,0.0
2000-08-17,0.0
2000-08-18,0.0
2000-08-28,0.0
2000-08-30,1.2346
2000-09-14,-3.6585
2000-09-25,0.0
2000-09-26,0.0
2000-09-27,-3.7975
2000-09-28,-1.3158
2000-09-29,-1.3333
2000-10-02,-8.1081
2000-10-03,-1.4706000000000001
2000-10-05,0.0
2000-10-10,8.9552
2000-10-17,6.8493
2000-10-26,-12.8205
2000-10-30,-1.4706000000000001
2000-11-06,0.0
2000-11-10,-4.4776
2000-11-13,0.0
2000-11-20,2.3438
2000-11-22,0.7634
2000-11-28,0.0
2000-11-29,1.5152
2000-11-30,0.0
2000-12-01,-1.4925
2000-12-05,0.0
2000-12-27,0.0
2000-12-28,0.0
2001-01-04,9.0909
2001-01-16,-6.9444
2001-02-01,5.2239
2001-02-08,2.1277
2001-02-16,-2.7778
2001-03-02,5.7143
2001-03-14,-1.3514
