ticker,PSSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-24,173.3333
2012-06-04,-14.6341
2012-06-13,-14.2857
2012-06-14,-16.6667
2012-06-19,0.0
2012-06-27,0.0
2012-06-28,0.0
2012-07-09,-12.0
2012-08-02,-22.7273
2012-10-09,17.647100000000002
2012-11-05,0.0
2012-11-16,0.0
2013-02-07,-40.0
2013-02-13,-16.6667
2013-02-25,-10.0
2013-04-25,155.5556
2013-04-26,8.6957
2013-04-29,40.0
2013-05-03,0.0
2013-05-17,-42.8571
2013-05-20,-25.0
2013-05-22,100.0
2013-05-28,-26.6667
2013-06-10,-22.7273
2013-06-12,47.0588
2013-06-17,-12.0
2013-07-10,-9.0909
2013-08-02,25.0
2013-08-05,40.0
2013-08-27,0.0
2013-08-30,0.0
2013-09-03,0.0
2013-09-05,0.0
2013-09-16,14.2857
2013-09-30,-37.5
2013-10-17,20.0
2013-10-28,-16.6667
2013-10-30,-20.0
2013-11-14,25.0
2013-12-19,-40.0
2014-01-06,0.0
2014-01-10,33.3333
2014-01-15,15.0
2014-02-12,4.3478
2014-02-13,-12.5
2014-02-14,42.8571
2014-02-18,33.3333
2014-02-20,-22.5
2014-02-21,58.0645
2014-02-24,-8.1633
2014-02-26,-22.2222
2014-03-06,0.0
2014-03-07,22.8571
2014-03-13,-6.9767
2014-03-14,-37.5
2014-03-17,0.0
2014-03-18,0.0
2014-03-19,132.0
2014-03-20,-31.0345
2014-03-21,-18.75
2014-03-24,32.3077
2014-03-25,-6.9767
2014-03-26,-7.5
2014-03-27,-13.5135
2014-03-28,-20.3125
2014-03-31,-1.9607999999999999
2014-04-02,-8.0
2014-04-03,0.0
2014-04-07,8.6957
2014-04-09,-16.0
2014-04-10,-4.7619
2014-04-11,-15.0
2014-04-14,-5.8824
2014-04-16,56.25
2014-04-17,24.0
2014-04-21,12.9032
2014-04-22,-2.8571
2014-04-23,-11.7647
2014-04-24,-5.0
2014-04-28,-1.7544
2014-04-29,35.7143
2014-05-01,-31.5789
2014-05-02,15.3846
2014-05-05,0.0
2014-05-06,3.3333
2014-05-07,-19.3548
2014-05-08,-4.0
2014-05-09,-4.1667
2014-05-12,0.0
2014-05-13,4.3478
2014-05-14,33.3333
2014-05-15,-18.75
2014-05-16,-1.9231
2014-05-19,1.9607999999999999
2014-05-21,-7.6923
2014-05-22,-4.1667
2014-05-23,13.0435
2014-05-27,-9.6154
2014-05-28,-2.1277
2014-05-29,-8.6957
2014-05-30,9.5238
2014-06-02,0.0
