ticker,SLGL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-01,13.6667
2018-02-02,-9.0176
2018-02-05,-12.9734
2018-02-06,-2.8704
2018-02-07,2.6692
2018-02-08,0.0
2018-02-09,-1.5785
2018-02-12,13.9623
2018-02-13,-2.4007
2018-02-14,0.0
2018-02-15,-3.3079
2018-02-16,-1.0526
2018-02-20,-5.0532
2018-02-21,5.5089
2018-02-22,-4.9558
2018-02-23,3.6313
2018-02-26,-2.4259
2018-02-27,2.5783
2018-02-28,-3.1418
2018-03-01,1.8536000000000001
2018-03-02,-0.273
2018-03-05,3.1022
2018-03-06,0.885
2018-03-07,-2.193
2018-03-08,1.8834
2018-03-09,-2.1127
2018-03-12,2.8777
2018-03-13,6.4685
2018-03-14,-5.9113
2018-03-15,-2.007
2018-03-16,-3.1167
2018-03-19,3.125
2018-03-20,0.2674
2018-03-21,1.7778
2018-03-22,-5.9389
2018-03-23,-3.4355
2018-03-26,5.2404
2018-03-27,-1.5074999999999998
2018-03-28,-0.2783
2018-03-29,-4.186
2018-04-02,3.9806
2018-04-03,-5.9757
2018-04-04,2.7805
2018-04-05,-2.8019
2018-04-06,3.2803
2018-04-09,-3.6574
2018-04-10,2.7972
2018-04-11,-5.345
2018-04-12,0.7187
2018-04-13,1.5291000000000001
2018-04-16,0.4016
2018-04-17,-2.5
2018-04-18,0.4103
2018-04-19,0.9193
2018-04-20,0.1012
2018-04-23,-1.4156
2018-04-24,-0.5128
2018-04-25,-0.8247
2018-04-26,0.8316
2018-04-27,-2.5773
2018-04-30,-11.746
2018-05-01,1.3189
2018-05-02,-0.5917
2018-05-03,-0.4762
2018-05-04,7.8947
2018-05-07,4.5455
2018-05-08,-4.0297
2018-05-09,2.2099
2018-05-10,-1.6216
2018-05-11,-5.8242
2018-05-14,-12.4854
2018-05-15,12.4
2018-05-16,5.694
2018-05-17,6.6218
2018-05-18,-2.4211
2018-05-21,2.589
2018-05-22,-2.734
2018-05-23,1.6216
2018-05-24,2.0213
2018-05-25,0.6257
2018-05-29,-2.6943
2018-05-30,0.0
2018-05-31,3.3014
2018-06-01,-1.0309
2018-06-04,-2.9167
2018-06-05,-1.8239999999999998
2018-06-06,-1.6393
2018-06-07,-4.0
2018-06-08,0.2315
2018-06-11,-1.8476
2018-06-12,8.0
2018-06-13,-1.8519
2018-06-14,-5.7714
2018-06-15,3.5336
2018-06-18,-6.1433
2018-06-19,3.84
2018-06-20,-5.4489
2018-06-21,-2.8395
2018-06-22,8.1321
