ticker,HYRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-27,2.0
2018-06-28,-3.7255000000000003
2018-06-29,2.8513
2018-07-02,-1.5842
2018-07-03,0.4024
2018-07-05,0.2004
2018-07-06,-6.0
2018-07-09,-5.7447
2018-07-10,8.5779
2018-07-11,-0.2079
2018-07-12,3.9583
2018-07-13,-2.4048
2018-07-16,-0.4107
2018-07-17,-0.4124
2018-07-18,-0.6211
2018-07-19,-3.125
2018-07-20,-0.8602
2018-07-23,-9.5445
2018-07-24,-10.0719
2018-07-25,-13.8667
2018-07-26,4.0248
2018-07-27,1.7856999999999998
2018-07-30,-2.924
2018-07-31,7.8313
2018-08-01,0.5587
2018-08-02,-3.6111
2018-08-03,-3.4582
2018-08-06,-5.9701
2018-08-07,3.4920999999999998
2018-08-08,-5.635
2018-08-09,-0.5299
2018-08-10,-2.6144
2018-08-13,-7.047
2018-08-14,8.6643
2018-08-15,-5.3156
2018-08-16,3.5088
2018-08-17,-0.678
2018-08-20,9.5563
2018-08-21,0.9346
2018-08-22,7.716
2018-08-23,4.5845
2018-08-24,-10.411
2018-08-27,4.2813
2018-08-28,-1.7595
2018-08-29,-2.9851
2018-08-30,-3.3846
2018-08-31,0.9554
2018-09-04,3.7855
2018-09-05,-8.5106
2018-09-06,-1.9933999999999998
2018-09-07,3.7288
2018-09-10,-3.9215999999999998
2018-09-11,-5.7823
2018-09-12,-6.1372
2018-09-13,-1.1538
2018-09-14,10.5019
2018-09-17,-0.3486
2018-09-18,9.5406
2018-09-19,-2.2580999999999998
2018-09-20,7.5908
2018-09-21,-12.5767
2018-09-24,-7.7193000000000005
2018-09-25,0.0
2018-09-26,0.0
2018-09-27,0.0
2018-09-28,-3.0418
2018-10-01,7.8431
2018-10-02,-5.4545
2018-10-03,2.6923
2018-10-04,1.1236
2018-10-05,-3.7037
2018-10-08,-13.8462
2018-10-09,9.8214
2018-10-10,-2.439
2018-10-11,-5.8333
2018-10-12,1.7699
2018-10-15,-13.4783
2018-10-16,2.0101
2018-10-17,0.9852
2018-10-18,2.439
2018-10-19,7.1429
2018-10-22,4.0
2018-10-23,-1.7094
2018-10-24,-3.9130000000000003
2018-10-25,-3.1673999999999998
2018-10-26,4.2056000000000004
2018-10-29,2.6906
2018-10-30,0.0
2018-10-31,-10.0437
2018-11-01,3.8834999999999997
2018-11-02,-3.271
2018-11-05,8.2126
2018-11-06,5.8036
2018-11-07,8.8608
2018-11-08,-1.5504
2018-11-09,-15.3543
