ticker,LBRT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-01-12,27.9412
2018-01-16,0.3218
2018-01-17,2.2915
2018-01-18,0.0
2018-01-19,1.1649
2018-01-22,1.4172
2018-01-23,0.5677
2018-01-24,-0.4776
2018-01-25,-0.6108
2018-01-26,-0.5707
2018-01-29,-0.4415
2018-01-30,-1.9956
2018-01-31,0.181
2018-02-01,-1.897
2018-02-02,-3.7753
2018-02-05,-2.0574
2018-02-06,3.5173
2018-02-07,-1.5573000000000001
2018-02-08,-2.6366
2018-02-09,-7.3363
2018-02-12,2.1785
2018-02-13,-0.052
2018-02-14,3.5380000000000003
2018-02-15,-0.2513
2018-02-16,-0.2519
2018-02-20,0.303
2018-02-21,0.9567
2018-02-22,-0.7481
2018-02-23,2.9146
2018-02-26,-1.3672
2018-02-27,-2.9208
2018-02-28,-5.2014
2018-03-01,-4.4648
2018-03-02,-1.464
2018-03-05,4.9143
2018-03-06,-0.6536
2018-03-07,-2.0833
2018-03-08,-1.7357
2018-03-09,4.9003
2018-03-12,3.1505
2018-03-13,-2.8963
2018-03-14,-4.3926
2018-03-15,-3.46
2018-03-16,4.1716
2018-03-19,-3.2713
2018-03-20,1.6909999999999998
2018-03-21,5.4472
2018-03-22,-1.4682
2018-03-23,-1.6004
2018-03-26,-1.6265
2018-03-27,-5.1311
2018-03-28,-2.524
2018-03-29,4.1307
2018-04-02,-2.6643
2018-04-03,2.9805
2018-04-04,1.6539000000000001
2018-04-05,3.2539
2018-04-06,-1.4069
2018-04-09,-0.4566
2018-04-10,10.4358
2018-04-11,-1.298
2018-04-12,-1.4203000000000001
2018-04-13,-0.2668
2018-04-16,1.8727
2018-04-17,1.9433
2018-04-18,1.288
2018-04-19,0.8647
2018-04-20,-1.7650000000000001
2018-04-23,-0.924
2018-04-24,3.3161
2018-04-25,-0.2006
2018-04-26,0.201
2018-04-27,1.003
2018-04-30,-0.993
2018-05-01,-1.0532
2018-05-02,1.5712000000000002
2018-05-03,1.0479
2018-05-04,-2.5679
2018-05-07,0.4055
2018-05-08,0.8582
2018-05-09,4.3043
2018-05-10,0.096
2018-05-11,-2.7804
2018-05-14,3.5503
2018-05-15,-0.0476
2018-05-16,1.1434
2018-05-17,6.5001999999999995
2018-05-18,1.2826
2018-05-21,2.0087
2018-05-22,-1.1558
2018-05-23,0.3465
2018-05-24,-2.0285
2018-05-25,-5.5507
2018-05-29,1.1194
2018-05-30,3.0904
2018-05-31,-4.877
2018-06-01,-5.5974
