ticker,PANL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-23,-0.2079
2014-01-27,3.0208
2014-01-28,-1.5167000000000002
2014-01-30,0.2053
2014-01-31,-0.2049
2014-02-03,-0.2053
2014-02-04,0.0
2014-02-05,0.1029
2014-02-06,-0.2043
2014-02-07,0.1017
2014-02-10,0.0
2014-02-12,-0.1029
2014-02-13,0.103
2014-02-14,0.823
2014-02-18,-0.5102
2014-02-19,-0.3077
2014-02-20,0.0
2014-02-21,0.0
2014-02-24,0.2058
2014-02-25,-0.2053
2014-03-07,0.0
2014-03-17,0.0
2014-03-18,0.7202
2014-03-19,-0.715
2014-03-20,0.9259
2014-03-21,-0.7136
2014-03-24,1.3347
2014-03-25,-0.8105
2014-03-26,0.2043
2014-03-27,-0.5097
2014-03-28,-0.1025
2014-03-31,0.5128
2014-04-01,-0.4082
2014-04-02,-0.1025
2014-04-03,0.0
2014-04-04,0.0
2014-04-07,0.8205
2014-04-08,-0.3052
2014-04-09,-0.102
2014-04-10,-0.1021
2014-04-11,0.1534
2014-04-15,0.3573
2014-04-16,0.1017
2014-04-17,-0.2033
2014-04-21,0.4073
2014-04-22,-0.1014
2014-04-23,0.1015
2014-04-24,0.0
2014-04-28,0.4057
2014-04-29,-0.303
2014-05-01,1.1145
2014-05-02,0.3006
2014-05-05,0.2997
2014-05-06,0.1992
2014-05-07,0.0
2014-05-08,0.0994
2014-05-12,-0.3972
2014-05-13,0.6979
2014-05-14,-0.198
2014-05-15,0.0
2014-05-16,0.1984
2014-05-27,-0.8911
2014-05-29,-0.0999
2014-05-30,0.2
2014-06-03,-0.0998
2014-06-04,0.0
2014-06-05,0.0999
2014-06-06,-0.0998
2014-06-09,0.5007
2014-06-10,-0.2994
2014-06-11,0.3988
2014-06-12,-0.6951
2014-06-13,0.4
2014-06-16,-0.3984
2014-06-17,0.0
2014-06-18,0.1
2014-06-19,0.3996
2014-06-20,0.0
2014-06-23,-0.2985
2014-06-24,0.0998
2014-06-25,0.6979
2014-06-26,-0.3948
2014-06-27,-0.1006
2014-06-30,-0.0995
2014-07-01,0.2988
2014-07-02,-0.0993
2014-07-08,-0.1988
2014-07-09,0.4968
2014-07-10,-0.0979
2014-07-15,-0.1004
2014-07-16,-0.5946
2014-07-17,-0.0999
2014-07-18,0.1
2014-07-23,0.0
2014-07-25,0.0
2014-07-28,0.2997
2014-07-29,-0.3984
2014-07-30,0.1
2014-07-31,-0.3996
2014-08-01,0.1003
2014-08-04,-0.1002
