ticker,SLAB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-24,123.7903
2000-03-27,8.1081
2000-03-28,18.75
2000-03-29,4.5614
2000-03-30,-8.7248
2000-03-31,4.1176
2000-04-03,-17.3023
2000-04-04,5.2092
2000-04-05,-8.4416
2000-04-06,10.461
2000-04-07,5.297
2000-04-10,-8.5366
2000-04-11,-0.3333
2000-04-12,-7.6923
2000-04-13,4.3478
2000-04-14,-12.5
2000-04-17,11.1111
2000-04-18,17.8571
2000-04-19,-1.8182
2000-04-20,-7.3302
2000-04-24,-0.9992
2000-04-25,8.6627
2000-04-26,-1.6254
2000-04-27,9.8348
2000-04-28,-0.2865
2000-05-01,7.4713
2000-05-02,4.8128
2000-05-03,-6.6327
2000-05-04,2.0492
2000-05-05,-1.4726
2000-05-08,-12.2962
2000-05-09,2.2463
2000-05-10,-3.0303
2000-05-11,0.625
2000-05-12,-2.2516
2000-05-15,-7.228
2000-05-16,8.2192
2000-05-17,0.6329
2000-05-18,-4.4025
2000-05-19,-3.9474
2000-05-22,1.0274
2000-05-23,-3.7288
2000-05-24,-8.8028
2000-05-25,-7.3359
2000-05-26,-10.5208
2000-05-30,4.4237
2000-05-31,-17.8372
2000-06-01,4.2062
2000-06-02,4.2969
2000-06-05,-0.6242
2000-06-06,-2.5126
2000-06-07,3.0928
2000-06-08,12.75
2000-06-09,12.8603
2000-06-12,0.3929
2000-06-13,-2.1526
2000-06-14,4.1
2000-06-15,-7.3967
2000-06-16,-0.4149
2000-06-19,-13.3333
2000-06-20,1.9231
2000-06-21,0.0
2000-06-22,7.5472
2000-06-23,0.0
2000-06-26,-1.3158
2000-06-27,-7.5556
2000-06-28,12.2596
2000-06-29,-3.3191
2000-06-30,-5.8693
2000-07-03,1.6471
2000-07-05,-2.4306
2000-07-06,1.0676
2000-07-07,1.4085
2000-07-10,8.1019
2000-07-11,8.137
2000-07-12,9.3069
2000-07-13,-4.3478
2000-07-14,3.5985
2000-07-17,8.9351
2000-07-18,-6.1884
2000-07-19,-4.025
2000-07-20,4.287
2000-07-21,-8.1323
2000-07-24,1.5564
2000-07-25,-3.4483
2000-07-26,-7.1429
2000-07-27,-2.7778
2000-07-28,0.4396
2000-07-31,0.7659
2000-08-01,-1.1944
2000-08-02,0.7692
2000-08-03,2.5082
2000-08-04,-5.5319
2000-08-07,2.4775
2000-08-08,-1.7582
2000-08-09,2.9083
2000-08-10,0.8696
2000-08-11,0.3233
2000-08-14,0.1074
2000-08-15,14.1631
