ticker,FAVO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-17,900.0
2005-02-18,36.6667
2005-02-22,29.2683
2005-03-07,-15.0943
2005-03-08,0.0
2005-03-16,0.0
2005-04-15,22.2222
2005-04-18,0.0
2005-04-25,-20.9091
2005-04-26,28.7356
2005-04-27,-24.1071
2005-04-28,5.8824
2005-05-25,2.2222
2005-06-23,30.4348
2005-06-24,0.0
2005-06-27,16.6667
2005-06-30,14.2857
2005-07-06,0.0
2005-07-15,25.375
2005-07-20,-9.2722
2005-07-26,-12.0879
2005-08-08,13.75
2005-09-06,-0.7692
2005-09-30,-0.8859
2005-10-17,0.8939
2005-12-14,-11.4064
2005-12-19,-11.25
2006-01-13,26.0563
2006-01-27,-44.1341
2006-02-06,-15.0
2006-03-01,-5.8824
2006-03-02,37.5
2006-04-04,49.0909
2006-04-24,-45.122
2006-05-31,26.6667
2006-06-01,23.6842
2006-06-05,14.1844
2006-06-06,0.0
2006-06-07,1.2422
2006-06-08,1.5951
2006-06-09,2.657
2006-06-12,3.2941
2006-06-13,2.7335000000000003
2006-06-15,2.3282
2006-06-16,2.9252000000000002
2006-06-19,5.7895
2006-06-20,-2.4876
2006-06-21,7.6531
2006-06-22,5.2133
2006-06-23,1.8018
2006-06-26,2.2124
2006-06-27,2.1645
2006-06-29,-0.8475
2006-07-03,-1.7094
2006-07-06,6.5217
2006-07-07,2.449
2006-07-10,-4.3825
2006-07-11,0.0
2006-07-12,0.0
2006-07-13,-0.8333
2006-07-14,-1.2605
2006-07-17,4.5957
2006-07-18,-0.3255
2006-07-19,14.2857
2006-07-20,0.0
2006-07-24,3.5714
2006-07-27,24.1379
2006-07-28,-11.1111
2006-07-31,0.0
2006-08-02,9.375
2006-08-03,5.7143
2006-08-04,-18.9189
2006-08-07,0.0
2006-08-08,-26.6667
2006-08-09,7.2727
2006-08-10,22.8814
2006-08-23,-10.3448
2006-08-25,7.6923
2006-08-28,10.7143
2006-08-30,-6.4516
2006-08-31,13.7931
2006-09-01,12.1212
2006-09-05,0.5405
2006-09-06,-13.9785
2006-09-08,12.5
2006-09-11,0.0
2006-09-12,11.1111
2006-09-13,7.5
2006-09-14,-4.6512
2006-09-15,2.9268
2006-09-18,1.8957000000000002
2006-09-19,2.3256
2006-09-20,0.0
2006-09-21,4.5455
2006-09-22,-4.3478
2006-09-25,-2.2727
2006-09-26,10.2326
2006-09-27,-2.9536
2006-09-28,8.6522
2006-09-29,4.0416
2006-10-02,0.0
