ticker,CRTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-30,14.1613
2013-10-31,-0.2261
2013-11-01,-3.4268
2013-11-04,1.0557
2013-11-05,-1.3929
2013-11-06,-1.0594
2013-11-07,2.2606
2013-11-08,-13.4671
2013-11-11,-1.9832
2013-11-12,5.2469
2013-11-13,4.0078
2013-11-14,7.4248
2013-11-15,6.6783
2013-11-18,-1.3669
2013-11-19,-1.8847
2013-11-20,-3.1356
2013-11-21,-2.858
2013-11-22,2.6719
2013-11-25,3.5380000000000003
2013-11-26,1.0449
2013-11-27,0.5031
2013-11-29,0.3893
2013-12-02,-1.5512000000000001
2013-12-03,-2.673
2013-12-04,1.8213
2013-12-05,-3.6059
2013-12-06,-0.2651
2013-12-09,-0.0591
2013-12-10,-0.2364
2013-12-11,-2.34
2013-12-12,-3.0027
2013-12-13,2.0638
2013-12-16,1.1642000000000001
2013-12-17,0.3634
2013-12-18,-2.6554
2013-12-19,2.7898
2013-12-20,3.5887000000000002
2013-12-23,-2.2125
2013-12-24,0.7443
2013-12-26,0.6797
2013-12-27,-0.2055
2013-12-30,-0.1765
2013-12-31,0.7661
2014-01-02,-3.6550000000000002
2014-01-03,-1.6085
2014-01-06,0.8945
2014-01-07,-1.4674
2014-01-08,-1.0239
2014-01-09,-2.3511
2014-01-10,2.3435
2014-01-13,5.8657
2014-01-14,0.5037
2014-01-15,0.9139
2014-01-16,6.7193000000000005
2014-01-17,-0.0821
2014-01-21,1.3151
2014-01-22,0.3786
2014-01-23,1.8588
2014-01-24,-4.4168
2014-01-27,-5.036
2014-01-28,3.0594
2014-01-29,-2.488
2014-01-30,4.639
2014-01-31,-2.4938000000000002
2014-02-03,0.5399
2014-02-04,-1.498
2014-02-05,-3.3286
2014-02-06,-0.2642
2014-02-07,4.5802
2014-02-10,4.3825
2014-02-11,1.1996
2014-02-12,4.4181
2014-02-13,0.4902
2014-02-14,0.9756
2014-02-18,-0.4577
2014-02-19,2.8608000000000002
2014-02-20,6.2578
2014-02-21,5.2349
2014-02-24,4.0195
2014-02-25,0.6618
2014-02-26,2.5875
2014-02-27,5.6233
2014-02-28,4.6584
2014-03-03,-0.0561
2014-03-04,7.2605
2014-03-05,2.7565
2014-03-06,-2.5806
2014-03-07,-8.6616
2014-03-10,-5.1135
2014-03-11,2.3728
2014-03-12,-2.7696
2014-03-13,1.6364
2014-03-14,3.3592
2014-03-17,0.6154
2014-03-18,-4.6063
2014-03-19,-1.5628
2014-03-20,-7.3886
