ticker,ESPHQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-01-26,-20.7317
2006-01-27,-30.7692
2006-01-30,-17.7778
2006-01-31,5.4054
2006-02-01,-7.6923
2006-02-02,11.1111
2006-02-03,-7.5
2006-02-06,-8.1081
2006-02-07,-7.0588
2006-02-08,-11.3924
2006-02-09,-24.2857
2006-02-10,7.5472
2006-02-13,3.5088
2006-02-14,38.9831
2006-02-15,21.9512
2006-02-16,16.5
2006-02-17,-16.309
2006-02-21,4.6154
2006-02-22,-6.8627
2006-02-23,-2.6316
2006-02-24,-5.9459
2006-02-27,-6.3218
2006-02-28,-4.908
2006-03-01,6.4516
2006-03-02,-2.4242
2006-03-03,-9.3168
2006-03-06,2.7397
2006-03-07,-7.3333
2006-03-08,-8.6331
2006-03-09,7.874
2006-03-10,8.7591
2006-03-13,-8.0537
2006-03-14,0.7299
2006-03-15,-5.7971
2006-03-16,-12.3077
2006-03-17,0.8772
2006-03-20,-8.6957
2006-03-21,0.0
2006-03-22,-4.7619
2006-03-23,5.0
2006-03-24,-4.7619
2006-03-27,2.0
2006-03-28,0.0
2006-03-29,0.0
2006-03-30,0.0
2006-03-31,-1.9607999999999999
2006-04-03,-1.0
2006-04-04,-2.0202
2006-04-05,-5.1546
2006-04-06,-15.7609
2006-04-07,-26.4516
2006-04-10,31.5789
2006-04-11,-4.0
2006-04-12,0.0
2006-04-13,-12.5
2006-04-17,15.873
2006-04-18,12.3288
2006-04-19,2.439
2006-04-20,1.1905000000000001
2006-04-21,2.3529
2006-04-24,13.7931
2006-04-25,-3.0303
2006-04-26,4.1667
2006-04-27,-4.0
2006-04-28,-1.0417
2006-05-01,-2.1053
2006-05-02,2.1505
2006-05-03,-5.2632
2006-05-04,-5.5556
2006-05-05,-5.8824
2006-05-08,5.0
2006-05-09,-3.5714
2006-05-10,-2.4691
2006-05-11,5.0633
2006-05-12,0.0
2006-05-15,-8.4337
2006-05-16,-5.2632
2006-05-17,-2.7778
2006-05-18,-2.8571
2006-05-19,-11.7647
2006-05-22,0.0
2006-05-23,3.3333
2006-05-24,-6.4516
2006-05-25,12.069
2006-05-26,4.6154
2006-05-30,-4.4118
2006-05-31,7.6923
2006-06-01,-2.8571
2006-06-02,-7.3529
2006-06-05,-6.3492
2006-06-06,1.6949
2006-06-07,-8.3333
2006-06-08,1.8182
2006-06-09,1.7856999999999998
2006-06-12,-3.5088
2006-06-13,1.8182
2006-06-14,-1.7856999999999998
2006-06-15,0.0
2006-06-16,0.0
