ticker,ALLM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-06,85.1852
2014-02-07,-20.0
2014-02-10,-10.0
2014-02-11,-2.7778
2014-02-12,42.8571
2014-02-13,8.0
2014-02-18,-7.4074
2014-02-19,2.0
2014-02-20,-9.8039
2014-02-21,16.9565
2014-02-25,0.0
2014-02-26,-2.6022
2014-02-27,-10.3053
2014-02-28,-14.4681
2014-03-03,-0.4975
2014-03-04,25.0
2014-03-07,0.0
2014-03-14,0.0
2014-03-17,-4.0
2014-03-18,-25.0
2014-03-19,0.0
2014-03-21,-0.5556
2014-03-24,0.0
2014-03-26,39.1061
2014-03-28,-7.6305
2014-03-31,-22.1739
2014-04-01,-1.1173
2014-04-02,-12.9944
2014-04-03,1.2987
2014-04-04,-0.641
2014-04-07,0.6452
2014-04-09,21.1538
2014-04-10,-17.4603
2014-04-11,2.5641
2014-04-14,-4.375
2014-04-15,1.3072
2014-04-16,0.6452
2014-04-17,-22.4359
2014-04-21,14.0496
2014-04-22,1.4493
2014-04-23,-6.4286
2014-04-24,3.0534
2014-04-25,-11.1111
2014-04-28,-16.6667
2014-04-29,-25.0
2014-04-30,0.0
2014-05-01,20.0
2014-05-02,11.1111
2014-05-05,0.0
2014-05-06,-25.0
2014-05-07,33.3333
2014-05-08,-24.9875
2014-05-09,13.3144
2014-05-13,-8.2353
2014-05-14,11.538499999999999
2014-05-15,-2.2989
2014-05-16,47.0588
2014-05-19,-1.6
2014-05-20,-9.7561
2014-05-21,39.6396
2014-05-22,-12.9032
2014-05-23,7.4074
2014-05-27,-4.1379
2014-05-28,-7.1942
2014-05-29,-13.1783
2014-05-30,25.0
2014-06-02,10.7143
2014-06-03,-22.5806
2014-06-04,0.0
2014-06-05,-16.6667
2014-06-06,10.0
2014-06-09,-9.0909
2014-06-10,0.0
2014-06-11,15.0
2014-06-12,0.0
2014-06-13,-34.7826
2014-06-16,26.6667
2014-06-17,-5.2632
2014-06-18,-5.5556
2014-06-19,17.647100000000002
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,-10.0
2014-06-26,11.1111
2014-06-27,0.0
2014-06-30,5.0
2014-07-01,-4.7619
2014-07-02,1.0
2014-07-07,-21.7822
2014-07-08,20.2532
2014-07-09,5.2632
2014-07-10,-20.0
2014-07-11,53.75
2014-07-14,-2.439
2014-07-15,-0.8333
2014-07-16,9.2437
2014-07-17,14.6154
2014-07-18,0.0
2014-07-21,2.6846
2014-07-22,1.3072
2014-07-23,-9.6774
