ticker,MLM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.2195
2000-01-04,-1.3889
2000-01-05,5.1643
2000-01-06,7.4405
2000-01-07,4.1551
2000-01-10,-1.4628
2000-01-11,-0.9447
2000-01-12,3.406
2000-01-13,4.0843
2000-01-14,-4.4304
2000-01-18,-1.0596
2000-01-19,-0.6693
2000-01-20,-4.5822
2000-01-21,-0.8475
2000-01-24,2.2792
2000-01-25,-4.3175
2000-01-26,0.7278
2000-01-27,1.1561
2000-01-28,0.5714
2000-01-31,-4.5455
2000-02-01,0.2976
2000-02-02,2.9674
2000-02-03,2.3055
2000-02-04,-1.2676
2000-02-07,-0.9986
2000-02-08,-3.17
2000-02-09,-2.3810000000000002
2000-02-10,-2.439
2000-02-11,-0.9375
2000-02-14,-1.5773000000000001
2000-02-15,1.2821
2000-02-16,0.0
2000-02-17,0.7911
2000-02-18,-2.9827
2000-02-22,-0.1618
2000-02-23,-1.4586999999999999
2000-02-24,-3.7829
2000-02-25,0.3419
2000-02-28,0.5247
2000-02-29,-3.4013999999999998
2000-03-01,3.169
2000-03-02,0.5119
2000-03-03,1.6978
2000-03-06,-1.0017
2000-03-07,0.1686
2000-03-08,3.8721
2000-03-09,0.3241
2000-03-10,2.7464
2000-03-13,-1.1006
2000-03-14,-4.1335
2000-03-15,13.267
2000-03-16,11.4202
2000-03-17,-3.9422
2000-03-20,2.8728
2000-03-21,-2.1277
2000-03-22,-1.6303999999999998
2000-03-23,3.0387
2000-03-24,-2.2788
2000-03-27,-0.1372
2000-03-28,-0.2747
2000-03-29,-0.6887
2000-03-30,-0.1387
2000-03-31,5.5556
2000-04-03,-1.5789
2000-04-04,-3.7433
2000-04-05,2.3611
2000-04-06,-0.8141
2000-04-07,-0.684
2000-04-10,1.3774
2000-04-11,4.212
2000-04-12,1.043
2000-04-13,0.0
2000-04-14,-2.9677
2000-04-17,0.9309
2000-04-18,5.5336
2000-04-19,7.8652
2000-04-20,-1.8519
2000-04-24,-0.7075
2000-04-25,3.0879
2000-04-26,-2.8802
2000-04-27,-1.0676
2000-04-28,1.6787
2000-05-01,2.0047
2000-05-02,-2.7746
2000-05-03,-1.7835999999999999
2000-05-04,1.4527999999999999
2000-05-05,0.2387
2000-05-08,1.0714
2000-05-09,1.4134
2000-05-10,-1.0453
2000-05-11,0.939
2000-05-12,-0.5814
2000-05-15,0.0
2000-05-16,0.7018
2000-05-17,-0.2323
2000-05-18,-3.0268
2000-05-19,-2.401
