ticker,MXMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-22,1100.0
2015-05-29,316.6667
2015-06-01,0.0
2015-06-03,0.0
2015-06-04,-20.0
2015-06-05,-40.0
2015-06-18,233.3333
2015-06-19,112.5
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,-22.352899999999998
2015-06-30,28.7879
2015-07-01,0.0
2015-07-08,5.8824
2015-07-09,38.8889
2015-07-10,20.0
2015-07-13,0.0
2015-07-14,-3.3333
2015-07-15,-3.4483
2015-07-20,-3.5714
2015-07-21,0.0
2015-07-28,-14.8148
2015-07-31,-6.9565
2015-08-03,-1.8692
2015-08-04,-2.8571
2015-08-05,6.8627
2015-08-06,0.9174
2015-08-07,0.0
2015-08-10,3.6364
2015-08-11,1.7544
2015-08-12,0.8621
2015-08-13,-0.8547
2015-08-14,0.0
2015-08-18,-7.7586
2015-08-19,1.8692
2015-08-20,5.5046
2015-08-21,0.0
2015-08-24,-19.1304
2015-08-25,-8.6022
2015-08-26,-12.9412
2015-08-27,-40.5405
2015-08-28,-9.0909
2015-08-31,10.0
2015-09-01,-6.7756
2015-09-02,-2.4836
2015-09-03,0.0
2015-09-04,-14.9688
2015-09-08,17.6038
2015-09-09,7.5
2015-09-10,-13.9535
2015-09-14,-12.1622
2015-09-15,-1.5385
2015-09-16,4.6875
2015-09-17,-25.3731
2015-09-18,2.0
2015-09-21,0.0
2015-09-22,17.598
2015-09-23,-14.9646
2015-09-24,-29.4118
2015-09-28,11.1111
2015-09-29,15.0
2015-09-30,-8.6957
2015-10-01,-15.2381
2015-10-02,-15.1685
2015-10-05,9.9338
2015-10-06,-8.4337
2015-10-07,0.0
2015-10-08,-37.5
2015-10-09,-58.9474
2015-10-12,-21.7949
2015-10-13,0.0
2015-10-14,-11.4754
2015-10-15,-7.4074
2015-10-16,21.25
2015-10-19,-30.1031
2015-10-21,0.0
2015-10-22,0.0
2015-10-27,0.0
2015-10-28,-0.885
2015-10-30,80.9524
2015-11-02,-24.5066
2015-11-03,-2.3965
2015-11-04,7.1429
2015-11-05,16.6667
2015-11-06,0.0
2015-11-11,0.3571
2015-11-12,-42.7046
2015-11-13,-30.4348
2015-11-16,28.5714
2015-11-17,0.0
2015-11-18,16.6667
2015-11-19,0.0
2015-11-20,19.0476
2015-11-23,-4.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-27,0.0
2015-11-30,-11.9792
2015-12-01,13.0178
2015-12-02,-11.5183
2015-12-03,18.3432
2015-12-07,-16.0
