ticker,SHLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-29,45.8696
2014-10-30,-1.0432
2014-10-31,1.4759
2014-11-03,0.3265
2014-11-04,-3.5799
2014-11-05,-1.9638
2014-11-06,2.0344
2014-11-07,4.8466000000000005
2014-11-10,4.213
2014-11-11,3.425
2014-11-12,-0.1629
2014-11-13,-5.5465
2014-11-14,2.7058
2014-11-17,-0.8688
2014-11-18,4.5802
2014-11-19,-1.0003
2014-11-20,-2.7580999999999998
2014-11-21,-1.0952
2014-11-24,4.5997
2014-11-25,3.6916
2014-11-26,0.5497
2014-11-28,-4.9206
2014-12-01,-6.0789
2014-12-02,-0.0583
2014-12-03,5.28
2014-12-04,1.6902
2014-12-05,0.9264
2014-12-08,-6.5875
2014-12-09,-0.2312
2014-12-10,-3.8239
2014-12-11,2.3494
2014-12-12,-0.3531
2014-12-15,0.9746
2014-12-16,2.0766
2014-12-17,3.6676
2014-12-18,-0.7739
2014-12-19,-1.5877
2014-12-22,2.1511
2014-12-23,-1.3854
2014-12-24,-0.8991
2014-12-26,2.0697
2014-12-29,5.8333
2014-12-30,3.6483
2014-12-31,3.7731
2015-01-02,2.4646
2015-01-05,-0.2858
2015-01-06,-2.1973
2015-01-07,-0.928
2015-01-08,1.5282
2015-01-09,-1.2139
2015-01-12,-7.2499
2015-01-13,-5.8294
2015-01-14,0.5627
2015-01-15,2.4342
2015-01-16,2.5403000000000002
2015-01-20,3.7560000000000002
2015-01-21,2.516
2015-01-22,1.5026000000000002
2015-01-23,1.1843
2015-01-26,2.7067
2015-01-27,-3.7987
2015-01-28,-2.1964
2015-01-29,-0.5698
2015-01-30,1.8321
2015-02-02,-1.8241
2015-02-03,3.3087
2015-02-04,-3.1781
2015-02-05,1.1196
2015-02-06,-2.4409
2015-02-09,-0.129
2015-02-10,1.4463
2015-02-11,-0.4073
2015-02-12,2.8885
2015-02-13,3.5031
2015-02-17,0.9121
2015-02-18,0.2141
2015-02-19,-0.9732
2015-02-20,-1.0786
2015-02-23,-2.8592
2015-02-24,-1.9955
2015-02-25,0.5345
2015-02-26,-1.2405
2015-02-27,0.1282
2015-03-02,0.7937
2015-03-03,1.5748
2015-03-04,-1.6503999999999999
2015-03-05,-0.6356
2015-03-06,-0.87
2015-03-09,-1.2389999999999999
2015-03-10,2.7705
2015-03-11,-3.2298999999999998
2015-03-12,0.2365
2015-03-13,-0.7604
2015-03-16,2.0608
2015-03-17,0.6472
2015-03-18,0.18
2015-03-19,0.0513
