ticker,NRIS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-11,2.9412000000000003
2016-05-12,0.0
2016-05-20,2.8571
2016-05-26,-8.3333
2016-05-27,3.0303
2016-06-01,-1.7647
2016-06-06,1.7964
2016-06-08,-0.5882
2016-06-09,0.5917
2016-06-15,0.0
2016-06-27,0.0
2016-07-01,0.0
2016-07-07,-1.1764999999999999
2016-07-12,2.3810000000000002
2016-07-13,-3.3903
2016-07-14,2.3056
2016-07-18,0.5882
2016-07-20,0.0
2016-08-02,-1.7544
2016-08-03,1.7856999999999998
2016-08-08,0.0
2016-08-09,0.5848
2016-08-10,-6.9767
2016-08-12,-3.125
2016-08-22,-9.6774
2016-08-30,8.5714
2016-08-31,-7.8947
2016-09-01,14.2857
2016-09-06,-5.7813
2016-09-07,0.1658
2016-09-08,0.0
2016-09-09,0.0
2016-09-13,-0.6623
2016-09-19,-6.6667
2016-09-20,-10.7143
2016-09-23,0.0
2016-09-26,0.0
2016-10-21,0.0
2016-10-27,-0.8
2016-10-28,6.4516
2016-10-31,7.5758
2016-11-01,4.9296
2016-11-02,4.698
2016-11-03,2.5641
2016-11-04,6.25
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,1.7647
2016-11-10,0.4444
2016-11-11,-3.8952999999999998
2016-11-14,-4.1916
2016-11-15,-3.1875
2016-11-16,2.9697
2016-11-17,-2.8213
2016-11-18,-1.2903
2016-11-21,2.1569
2016-11-22,-4.0307
2016-11-23,0.0
2016-11-25,0.0
2016-11-28,0.0
2016-11-29,-0.2
2016-11-30,-3.2064
2016-12-01,0.7591
2016-12-02,0.0
2016-12-05,1.3699
2016-12-06,0.0
2016-12-07,-1.4189
2016-12-08,2.8101000000000003
2016-12-09,0.0
2016-12-12,-0.6667
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,-1.3423
2016-12-16,0.0
2016-12-19,1.3605
2016-12-20,0.0
2016-12-21,-2.6846
2016-12-22,0.0
2016-12-23,-1.3793
2016-12-27,-2.0979
2016-12-28,-4.0714
2016-12-29,0.5212
2016-12-30,-1.4074
2017-01-03,-0.8264
2017-01-04,-4.5455
2017-01-05,-5.5556
2017-01-06,-0.8403
2017-01-09,1.6949
2017-01-10,-5.0
2017-01-11,5.2632
2017-01-12,-0.8333
2017-01-13,0.0
2017-01-17,0.0
2017-01-18,-4.2017
2017-01-19,1.7544
2017-01-20,0.8621
2017-01-23,-10.2564
2017-01-24,-1.4285999999999999
2017-01-25,-8.2126
2017-01-26,-1.0526
