ticker,JNPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.1764999999999999
2000-01-04,-4.3968
2000-01-05,-0.7602
2000-01-06,-4.4044
2000-01-07,4.1266
2000-01-10,0.1924
2000-01-11,-0.4992
2000-01-12,-4.9788
2000-01-13,2.173
2000-01-14,8.1694
2000-01-18,4.7409
2000-01-19,0.2105
2000-01-20,-1.7332
2000-01-21,28.2202
2000-01-24,-5.7107
2000-01-25,1.061
2000-01-26,0.6124
2000-01-27,-0.913
2000-01-28,-1.1847
2000-01-31,-3.8632
2000-02-01,2.3557
2000-02-02,-1.0379
2000-02-03,13.0415
2000-02-04,9.7217
2000-02-07,1.7647
2000-02-08,-1.9508999999999999
2000-02-09,9.6168
2000-02-10,12.1345
2000-02-11,3.5372
2000-02-14,-5.4719
2000-02-15,4.3185
2000-02-16,3.5819
2000-02-17,9.4104
2000-02-18,-1.2176
2000-02-22,-3.1734
2000-02-23,1.8147
2000-02-24,-2.5273
2000-02-25,1.6376
2000-02-28,-1.5843
2000-02-29,19.7544
2000-03-01,-1.2076
2000-03-02,-3.9668
2000-03-03,1.609
2000-03-06,2.3399
2000-03-07,2.9792
2000-03-08,-1.4577
2000-03-09,0.5007
2000-03-10,2.3324
2000-03-13,-6.5723
2000-03-14,-6.9398
2000-03-15,-6.4393
2000-03-16,3.1556
2000-03-17,5.4589
2000-03-20,-5.9515
2000-03-21,10.1835
2000-03-22,2.7992
2000-03-23,1.4085
2000-03-24,-0.3704
2000-03-27,2.7649
2000-03-28,11.0558
2000-03-29,-6.1889
2000-03-30,-7.2917
2000-03-31,-1.2875
2000-04-03,-11.5959
2000-04-04,-9.6567
2000-04-05,3.9192
2000-04-06,10.2857
2000-04-07,11.6775
2000-04-10,-11.6627
2000-04-11,-6.1975
2000-04-12,-8.5666
2000-04-13,-14.2682
2000-04-14,-9.6786
2000-04-17,9.1736
2000-04-18,14.741
2000-04-19,-7.702
2000-04-20,1.8468
2000-04-24,-6.2122
2000-04-25,10.2757
2000-04-26,1.6234
2000-04-27,6.8051
2000-04-28,1.7948
2000-05-01,2.9386
2000-05-02,-9.6203
2000-05-03,-1.5161
2000-05-04,-6.0936
2000-05-05,5.6693999999999996
2000-05-08,-2.2624
2000-05-09,-6.3492
2000-05-10,-11.6525
2000-05-11,-5.3557
2000-05-12,10.3885
2000-05-15,3.2517
2000-05-16,3.7792
2000-05-17,-4.1414
2000-05-18,1.3408
2000-05-19,-4.1529
2000-05-22,3.681
2000-05-23,-10.429
