ticker,ESTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-05,94.4444
2018-10-08,-5.8
2018-10-09,0.7734
2018-10-10,-5.9443
2018-10-11,-2.608
2018-10-12,2.9736000000000002
2018-10-15,-2.776
2018-10-16,7.2038
2018-10-17,6.9799
2018-10-18,-3.434
2018-10-19,-4.4896
2018-10-22,-1.0704
2018-10-23,-0.3293
2018-10-24,-4.1064
2018-10-25,1.4766
2018-10-26,-2.1504
2018-10-29,3.1725
2018-10-30,8.8725
2018-10-31,0.0294
2018-11-01,-1.1764999999999999
2018-11-02,-3.9881
2018-11-05,-0.031
2018-11-06,3.9535
2018-11-07,7.6808
2018-11-08,1.1219
2018-11-09,-2.2052
2018-11-12,-6.8627
2018-11-13,-2.9774000000000003
2018-11-14,-2.5883000000000003
2018-11-15,5.4733
2018-11-16,6.728
2018-11-19,-5.3004
2018-11-20,-5.5224
2018-11-21,0.9479
2018-11-23,3.3959
2018-11-26,3.0271
2018-11-27,0.1469
2018-11-28,3.5793
2018-11-29,-1.572
2018-11-30,2.8058
2018-12-03,14.7656
2018-12-04,-11.561
2018-12-06,3.8886
2018-12-07,-8.2559
2018-12-10,5.5122
2018-12-11,1.3026
2018-12-12,5.5631
2018-12-13,-0.8334
2018-12-14,-0.8404
2018-12-17,-12.2441
2018-12-18,2.7935
2018-12-19,0.6794
2018-12-20,-6.4752
2018-12-21,-4.0068
2018-12-24,0.5437
2018-12-26,8.3188
2018-12-27,1.3216
2018-12-28,1.4348
2018-12-31,2.1289
2019-01-02,-7.1489
2019-01-03,-3.5558
2019-01-04,5.9366
2019-01-07,7.8012
2019-01-08,1.8468
2019-01-09,3.4385
2019-01-10,-2.7529
2019-01-11,-0.1602
2019-01-14,-4.6142
2019-01-15,3.309
2019-01-16,-1.6965
2019-01-17,1.1459
2019-01-18,2.4843
2019-01-22,-0.6127
2019-01-23,1.0453
2019-01-24,2.1485
2019-01-25,2.2072
2019-01-28,2.8709
2019-01-29,-0.7656
2019-01-30,4.7163
2019-01-31,1.0101
2019-02-01,3.0588
2019-02-04,1.1985999999999999
2019-02-05,1.5116
2019-02-06,-1.8335
2019-02-07,-3.6224
2019-02-08,2.2081
2019-02-11,-0.0115
2019-02-12,1.8389
2019-02-13,-0.2708
2019-02-14,2.6253
2019-02-15,0.1213
2019-02-19,0.2423
2019-02-20,1.0327
2019-02-21,0.1957
2019-02-22,2.1814999999999998
2019-02-25,3.6536999999999997
2019-02-26,-0.3791
2019-02-27,1.9029
