ticker,AMRT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-05-11,4738.7097
2002-10-08,185.2381
2005-09-15,-8.5977
2005-09-21,4.1096
2007-12-04,5.9649
2008-01-23,2.3179
2008-01-24,1.9417
2009-10-30,-4.7619
2011-10-19,-52.5
2011-10-24,0.007
2011-10-31,40.341
2011-11-14,-26.5
2012-03-07,0.0
2012-03-08,36.7347
2012-06-15,-25.3731
2012-07-26,1.3333
2012-08-02,5.2632
2013-05-14,25.0
2014-04-02,25.0
2014-04-23,-20.0
2014-12-18,4.0
2015-03-09,19.2308
2015-06-24,-9.2742
2015-11-13,4.4444
2015-11-30,2.1277
2015-12-16,25.0
2016-05-10,8.3333
2016-05-16,0.0
2017-02-27,-4.6154
2017-03-21,-3.2258
2017-03-29,8.3333
2017-03-31,0.0
2017-06-22,15.4523
2017-06-27,-8.0539
2017-09-19,-1.1594
2018-09-27,0.0
2018-12-07,1.173
2019-04-12,0.0
2019-05-29,1.4493
2019-08-02,-5.7143
2019-10-02,-9.0909
2020-02-10,-33.3333
2020-02-18,0.0
