ticker,PBSV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-06,0.0
2006-12-07,0.0
2006-12-08,0.0
2006-12-11,0.0
2006-12-12,0.0
2006-12-13,0.0
2006-12-14,8.0
2006-12-15,37.037
2006-12-18,-9.1892
2006-12-19,-4.7619
2006-12-20,3.125
2006-12-21,-3.0303
2006-12-22,-6.25
2006-12-26,0.0
2006-12-29,0.0
2007-01-03,-50.0
2007-01-04,33.3333
2007-01-05,-15.0
2007-01-08,-16.4706
2007-01-09,-8.4507
2007-01-10,7.6923
2007-01-16,14.2857
2007-01-22,0.0
2007-02-05,8.75
2007-02-13,6.8966
2007-02-14,-8.6022
2007-02-16,11.7647
2007-02-20,10.526299999999999
2007-02-21,-3.8095
2007-02-22,0.0
2007-02-26,1.9802
2007-02-27,-0.9709
2007-03-05,-15.6863
2007-03-15,4.6512
2007-03-16,-10.0
2007-03-23,0.0
2007-03-27,-7.4074
2007-03-29,-26.6667
2007-03-30,23.6364
2007-04-04,-4.4118
2007-04-19,-16.6154
2007-04-24,1.476
2007-05-02,-0.9091
2007-05-04,13.7615
2007-05-15,-19.3548
2007-05-21,2.0
2007-05-22,-7.8431
2007-05-24,0.0
2007-05-30,0.0
2007-05-31,-8.5106
2007-06-06,0.0
2007-06-13,39.5349
2007-06-15,11.6667
2007-06-18,-17.9104
2007-06-19,0.0
2007-06-27,7.2727
2007-07-03,0.0
2007-07-06,-1.6949
2007-07-10,0.0
2007-07-12,-1.7241
2007-07-30,-1.7544
2007-08-01,0.0
2007-09-14,10.7143
2007-09-19,-3.2258
2007-09-20,15.0
2007-09-21,11.5942
2007-09-24,3.8961
2007-09-25,-6.25
2007-10-01,0.0
2007-10-02,6.6667
2007-10-03,0.0
2007-10-04,0.0
2007-10-05,18.75
2007-10-09,2.1053
2007-10-10,3.0928
2007-10-11,-10.0
2007-10-16,10.0
2007-10-17,0.0
2007-10-18,0.0
2007-10-19,-0.101
2007-10-22,0.1011
2007-11-05,-2.0202
2007-11-06,-15.4639
2007-11-07,-2.439
2007-11-08,-6.25
2007-11-13,6.6667
2007-11-15,-6.25
2007-11-20,-26.6667
2007-11-21,7.2727
2007-11-26,-13.5593
2007-11-28,0.0
2007-12-03,15.6863
2007-12-04,-13.5593
2007-12-10,25.4902
2007-12-11,1.5625
2007-12-12,0.0
2007-12-14,0.0
2007-12-17,-13.8462
2007-12-19,16.0714
2007-12-26,-6.1538
2007-12-27,11.4754
2007-12-31,-4.4118
2008-01-02,13.8462
