ticker,AFMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-15,12.2807
2014-09-16,-2.8125
2014-09-17,0.8039
2014-09-18,-2.3923
2014-09-19,0.9804
2014-09-22,2.9126
2014-09-23,0.1572
2014-09-24,-0.471
2014-09-25,-1.2618
2014-09-26,2.2364
2014-09-29,-3.2813
2014-09-30,1.7771
2014-10-01,-4.6032
2014-10-02,-0.1664
2014-10-03,6.0
2014-10-06,-0.9434
2014-10-07,-2.2222
2014-10-08,-1.1364
2014-10-09,0.1642
2014-10-10,-14.7541
2014-10-13,-1.5385
2014-10-14,2.5391
2014-10-15,0.9524
2014-10-16,-0.1887
2014-10-17,-5.4442
2014-10-20,-1.8193000000000001
2014-10-21,-6.9436
2014-10-22,1.3129
2014-10-23,-0.432
2014-10-24,-4.3384
2014-10-27,-6.7574
2014-10-28,9.7276
2014-10-29,1.7287
2014-10-30,-3.268
2014-10-31,6.3063
2014-11-03,-4.2373
2014-11-04,-3.3186
2014-11-05,12.1281
2014-11-06,1.0204
2014-11-07,1.0101
2014-11-10,-8.8
2014-11-11,3.0702
2014-11-12,0.2128
2014-11-13,5.9448
2014-11-14,8.2164
2014-11-17,11.4815
2014-11-18,2.99
2014-11-19,-7.7419
2014-11-20,-1.2238
2014-11-21,5.3097
2014-11-24,4.7059
2014-11-25,5.939
2014-11-26,6.2121
2014-11-28,9.1298
2014-12-01,-1.4379
2014-12-02,-1.1936
2014-12-03,0.6711
2014-12-04,1.2
2014-12-05,3.1621
2014-12-08,-9.9617
2014-12-09,-17.8723
2014-12-10,-0.6908
2014-12-11,-0.5217
2014-12-12,-5.9441
2014-12-15,5.5762
2014-12-16,-4.4014
2014-12-17,-2.2099
2014-12-18,7.3446
2014-12-19,7.0175
2014-12-22,4.0984
2014-12-23,-2.9291
2014-12-24,0.4218
2014-12-26,0.0
2014-12-29,1.9386
2014-12-30,0.1585
2014-12-31,-1.8987
2015-01-02,0.6452
2015-01-05,4.9679
2015-01-06,-2.2901
2015-01-07,12.5
2015-01-08,-0.9722
2015-01-09,-3.0856
2015-01-12,-0.5789
2015-01-13,-9.7525
2015-01-14,-4.6774000000000004
2015-01-15,-4.9069
2015-01-16,5.1601
2015-01-20,-0.846
2015-01-21,-4.4369
2015-01-22,-6.0714
2015-01-23,-1.5209000000000001
2015-01-26,2.1236
2015-01-27,6.9943
2015-01-28,7.5972
2015-01-29,-4.7619
2015-01-30,-1.8965999999999998
2015-02-02,-0.5272
2015-02-03,-3.5336
