ticker,TCDA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-28,36.8421
2018-06-29,15.0
2018-07-02,0.3679
2018-07-03,9.7634
2018-07-05,3.2483
2018-07-06,-10.3205
2018-07-09,1.8689
2018-07-10,5.7612
2018-07-11,-5.6908
2018-07-12,-0.5486
2018-07-13,-5.5808
2018-07-16,-0.2405
2018-07-17,-1.5846
2018-07-18,0.805
2018-07-19,3.7847
2018-07-20,-1.3048
2018-07-23,-0.8475
2018-07-24,-7.3504
2018-07-25,-0.1476
2018-07-26,-3.1042
2018-07-27,-7.0938
2018-07-30,-4.844
2018-07-31,2.0276
2018-08-01,-2.8753
2018-08-02,-2.0461
2018-08-03,4.6667
2018-08-06,1.3588
2018-08-07,-0.2095
2018-08-08,0.7557
2018-08-09,-0.6667
2018-08-10,-0.5034
2018-08-13,-0.9275
2018-08-14,1.1489
2018-08-15,-1.3042
2018-08-16,0.9378
2018-08-17,0.2956
2018-08-20,-1.0526
2018-08-21,0.2553
2018-08-22,3.2258
2018-08-23,4.3586
2018-08-24,6.383
2018-08-27,-4.4074
2018-08-28,6.3929
2018-08-29,6.9556000000000004
2018-08-30,6.0606
2018-08-31,-1.0273
2018-09-04,4.7356
2018-09-05,16.197
2018-09-06,-3.3049
2018-09-07,0.441
2018-09-10,7.9857
2018-09-11,-11.3342
2018-09-12,0.4299
2018-09-13,1.2557
2018-09-14,0.3382
2018-09-17,-3.2022
2018-09-18,3.1341
2018-09-19,0.1688
2018-09-20,3.3146
2018-09-21,-0.9244
2018-09-24,-7.2173
2018-09-25,-0.5028
2018-09-26,-2.8834999999999997
2018-09-27,-2.5099
2018-09-28,-4.0816
2018-10-01,-1.3748
2018-10-02,-0.697
2018-10-03,-4.1444
2018-10-04,-3.2427
2018-10-05,0.5405
2018-10-08,-1.2545
2018-10-09,0.4356
2018-10-10,1.6263
2018-10-11,3.3428
2018-10-12,-1.4797
2018-10-15,1.5718
2018-10-16,4.608
2018-10-17,1.0191
2018-10-18,-2.2128
2018-10-19,-0.0333
2018-10-22,0.2663
2018-10-23,1.1288
2018-10-24,-15.1018
2018-10-25,6.7672
2018-10-26,1.2314
2018-10-29,-3.0054
2018-10-30,-2.2500999999999998
2018-10-31,1.8868
2018-11-01,4.0
2018-11-02,-0.3917
2018-11-05,-0.9653
2018-11-06,-2.3466
2018-11-07,1.1091
2018-11-08,3.8757
2018-11-09,4.6111
2018-11-12,-4.6433
2018-11-13,3.3522
2018-11-14,5.2919
2018-11-15,-1.9131
