ticker,SDGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-06,68.4706
2020-02-07,11.4525
2020-02-10,-9.3358
2020-02-11,-7.4292
2020-02-12,1.2691
2020-02-13,-1.9536
2020-02-14,1.1278
2020-02-18,18.5874
2020-02-19,11.9749
2020-02-20,33.3147
2020-02-21,4.9979
2020-02-24,5.98
2020-02-25,-17.7392
2020-02-26,-2.7529
2020-02-27,2.4534000000000002
2020-02-28,6.7925
2020-03-02,-3.5144
2020-03-03,-11.7095
2020-03-04,8.8332
2020-03-05,-4.2558
2020-03-06,5.2222
2020-03-09,-14.012
2020-03-10,-5.9597
2020-03-11,1.3988
2020-03-12,5.0394
2020-03-13,-4.6368
2020-03-16,-14.615
2020-03-17,-0.0329
2020-03-18,-4.6427
2020-03-19,15.4696
2020-03-20,15.2811
2020-03-23,10.9728
2020-03-24,-3.4829
2020-03-25,-5.7883
2020-03-26,6.0411
2020-03-27,-2.4727
2020-03-30,4.8471
2020-03-31,2.2285
2020-04-01,-8.6503
2020-04-02,-3.6558
2020-04-03,5.7181
2020-04-06,-0.8225
2020-04-07,-1.8094999999999999
2020-04-08,3.4041
2020-04-09,2.2277
2020-04-13,-0.6538
2020-04-14,-4.4845
2020-04-15,-7.8336
2020-04-16,13.0676
2020-04-17,-0.808
2020-04-20,19.6742
2020-04-21,-8.2096
2020-04-22,3.9775
2020-04-23,-2.0532
2020-04-24,13.9011
2020-04-27,-3.7582
2020-04-28,-0.5032
2020-04-29,0.526
2020-04-30,-6.6211
2020-05-01,0.6897
2020-05-04,3.5103
2020-05-05,-0.2275
2020-05-06,-0.7461
2020-05-07,4.4059
2020-05-08,-2.36
2020-05-11,12.4539
2020-05-12,6.9763
2020-05-13,-5.5508
2020-05-14,-2.6501
2020-05-15,5.5556
2020-05-18,3.5965
2020-05-19,12.5826
2020-05-20,-2.6625
2020-05-21,0.9581
2020-05-22,5.8779
2020-05-26,-0.159
2020-05-27,-5.5169
2020-05-28,-4.6129999999999995
2020-05-29,9.9775
2020-06-01,1.6801
2020-06-02,-0.0431
2020-06-03,-1.193
2020-06-04,-7.172
2020-06-05,-0.3448
2020-06-08,2.3117
2020-06-09,5.4258
2020-06-10,-2.0703
2020-06-11,-10.9126
2020-06-12,1.1197
2020-06-15,11.4031
2020-06-16,0.0
2020-06-17,6.2602
2020-06-18,5.2911
2020-06-19,-0.4773
2020-06-22,0.786
2020-06-23,6.041
2020-06-24,1.3338
2020-06-25,7.627
2020-06-26,-3.2575
2020-06-29,1.6068
2020-06-30,6.4767
2020-07-01,1.5615999999999999
2020-07-02,-0.1935
2020-07-06,0.4309
2020-07-07,-6.5758
2020-07-08,2.0553
2020-07-09,5.153
2020-07-10,-1.177
2020-07-13,-4.9697
2020-07-14,-5.8562
2020-07-15,1.9121000000000001
2020-07-16,-6.1869
2020-07-17,7.1266
2020-07-20,3.4503
2020-07-21,-4.5003
2020-07-22,4.2339
2020-07-23,-5.9323
2020-07-24,-6.9651
2020-07-27,1.4029
2020-07-28,-4.2022
2020-07-29,4.2111
2020-07-30,-1.7355
2020-07-31,-4.6
