ticker,EIGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-30,2.25
2014-01-31,3.5452
2014-02-03,-5.549
2014-02-04,-6.25
2014-02-05,2.6667
2014-02-06,2.0779
2014-02-07,-4.1985
2014-02-10,-0.2656
2014-02-11,2.3968
2014-02-12,-1.6905000000000001
2014-02-13,0.5291
2014-02-14,-0.6579
2014-02-18,-0.6623
2014-02-19,0.0
2014-02-20,0.8
2014-02-21,0.1323
2014-02-24,25.4954
2014-02-25,13.5789
2014-02-26,5.7461
2014-02-27,9.9036
2014-02-28,-9.8884
2014-03-03,-4.0708
2014-03-04,9.1328
2014-03-05,-4.4801
2014-03-06,2.1239
2014-03-07,-0.3466
2014-03-10,0.7826
2014-03-11,5.8671
2014-03-12,10.3504
2014-03-13,8.2718
2014-03-14,8.0491
2014-03-17,-10.4167
2014-03-18,-4.0169
2014-03-19,-7.6358
2014-03-20,4.9285
2014-03-21,-0.6818
2014-03-24,-10.9077
2014-03-25,4.024
2014-03-26,-5.679
2014-03-27,6.8063
2014-03-28,-8.0065
2014-03-31,5.8615
2014-04-01,-3.6913
2014-04-02,-3.5714
2014-04-03,-12.3758
2014-04-04,2.8866
2014-04-07,-7.7154
2014-04-08,13.8979
2014-04-09,1.5253
2014-04-10,11.455400000000001
2014-04-11,4.2965
2014-04-14,-2.3425000000000002
2014-04-15,-3.3912
2014-04-16,-1.5411000000000001
2014-04-17,3.8261
2014-04-21,4.9414
2014-04-22,-0.8779
2014-04-23,-5.314
2014-04-24,1.0204
2014-04-25,-2.3569
2014-04-28,-1.4655
2014-04-29,2.7997
2014-04-30,0.0
2014-05-01,-1.5319
2014-05-02,-1.2965
2014-05-05,-0.1751
2014-05-06,-7.7193000000000005
2014-05-07,-4.2776
2014-05-08,-3.6743
2014-05-09,6.1856
2014-05-12,10.2913
2014-05-13,-6.9542
2014-05-14,-4.825
2014-05-15,-4.3738
2014-05-16,-0.7277
2014-05-19,2.199
2014-05-20,-1.8443
2014-05-21,-6.785
2014-05-22,-2.2396
2014-05-23,3.7801
2014-05-27,1.3245
2014-05-28,0.8715
2014-05-29,-2.4838
2014-05-30,-1.1074
2014-06-02,-7.7268
2014-06-03,-4.1262
2014-06-04,18.3544
2014-06-05,-1.0695000000000001
2014-06-06,-2.2702999999999998
2014-06-09,0.885
2014-06-10,0.3289
2014-06-11,16.1749
2014-06-12,2.0696
2014-06-13,3.5023
2014-06-16,15.7614
2014-06-17,11.3077
2014-06-18,-1.935
2014-06-19,1.4799
