ticker,UGGYF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-01,0.1976
2012-02-06,-3.8215
2012-02-08,-0.1282
2012-02-13,-4.3634
2012-02-15,-4.1063
2012-02-16,-1.9312
2012-02-22,17.8082
2012-02-24,-5.814
2012-02-29,13.3745
2012-03-02,1.9964
2012-03-12,1.4235
2012-03-13,1.0526
2012-03-27,-6.9444
2012-03-29,-0.7463
2012-03-30,1.1278
2012-04-02,-1.487
2012-04-03,0.0
2012-04-09,-3.3962
2012-04-11,-2.3438
2012-04-20,-6.075
2012-04-26,-10.9928
2012-04-27,0.4785
2012-05-03,9.6131
2012-05-08,-8.77
2012-05-09,-3.6607
2012-05-10,0.3398
2012-05-14,2.2782999999999998
2012-05-15,-1.2643
2012-05-16,-12.1951
2012-05-22,12.2222
2012-05-23,-2.2896
2012-05-25,-0.3483
2012-05-31,-4.9253
2012-06-04,-0.5348
2012-06-08,-4.6707
2012-06-11,0.9517
2012-06-13,0.5587
2012-06-14,-1.1111
2012-06-25,-11.0604
2012-06-28,-11.1725
2012-07-03,2.4
2012-07-06,-6.033
2012-07-12,-7.6212
2012-07-13,0.8
2012-07-16,-2.2321
2012-07-17,4.2111
2012-07-18,0.4869
2012-08-03,-22.4806
2012-08-06,-0.125
2012-08-08,-0.8761
2012-08-10,-3.346
2012-08-13,-2.2861000000000002
2012-08-15,0.5348
2012-08-23,-27.6596
2012-08-28,9.5588
2012-09-05,-7.8859
2012-09-07,-6.7395
2012-09-13,10.9375
2012-09-21,-30.8099
2012-10-16,-38.1679
2012-10-19,8.642
2012-10-24,7.197
2012-11-14,-9.894
2012-11-20,-13.7255
2013-01-16,-38.1818
2013-01-24,-47.0588
2013-02-06,166.6667
2013-02-15,-17.1875
2013-02-20,-0.9434
2013-02-21,14.9206
2013-02-26,-29.8343
2013-03-05,-20.0787
2013-03-14,-22.1675
2013-04-29,-98.1013
2013-07-08,66.6667
2013-07-30,280.0
2013-08-01,0.0
2013-08-06,0.0
2013-08-13,321.0526
2013-08-30,32.5
2013-09-04,-15.0943
2013-09-06,0.0
2013-09-10,-11.1111
2013-10-23,-97.5
2013-12-16,16150.0
2013-12-19,-97.5385
2013-12-26,0.0
2013-12-31,37.5
2014-01-02,0.0
2014-01-09,-27.2727
2014-06-03,25.0
2014-07-14,-20.0
2014-11-11,0.0
2015-02-18,62.5
2015-06-30,-76.9231
2015-07-01,-33.3333
2015-08-07,300.0
2015-08-17,25.0
2015-09-21,-80.0
2015-09-24,50.0
2015-12-11,0.0
2016-01-04,0.0
2016-02-01,-33.3333
2016-04-13,400.0
2016-04-20,-20.0
2016-04-21,25.0
2016-09-30,-50.0
2016-12-22,-40.0
2016-12-29,100.0
2017-02-03,33.3333
2017-02-15,0.0
2017-02-28,62.5
2017-03-07,23.0769
2017-05-18,0.0
2017-06-09,100.0
2017-12-01,-99.5
2017-12-29,-90.0
2018-04-06,9900.0
2019-03-21,0.0
2019-03-26,-99.0
2019-10-28,9900.0
2019-12-16,-99.0
2020-01-31,9900.0
2020-06-26,0.0
