ticker,ATRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-05,0.0
2000-01-06,1.2346
2000-01-07,-1.2195
2000-01-10,1.8519
2000-01-11,-1.2121
2000-01-12,3.0675
2000-01-13,0.5952
2000-01-14,-3.5503
2000-01-18,3.0675
2000-01-19,1.4881
2000-01-20,10.2639
2000-01-21,0.5319
2000-01-24,-3.7037
2000-01-25,3.2967
2000-01-26,-1.0638
2000-01-27,-7.5269
2000-01-28,4.6512
2000-01-31,-7.7778
2000-02-01,-4.8193
2000-02-02,2.5316
2000-02-03,-1.2346
2000-02-04,-2.5
2000-02-07,2.5641
2000-02-08,-3.75
2000-02-09,0.0
2000-02-10,1.2987
2000-02-11,-5.7692
2000-02-14,2.0408
2000-02-15,-2.6667
2000-02-16,6.8493
2000-02-17,-4.4872
2000-02-22,-1.3423
2000-02-23,-2.7211
2000-02-24,-2.0979
2000-02-25,1.4285999999999999
2000-02-28,3.5211
2000-03-01,-3.4013999999999998
2000-03-02,4.5775
2000-03-03,-1.6835
2000-03-06,3.4247
2000-03-07,11.2583
2000-03-08,-2.3810000000000002
2000-03-09,4.2683
2000-03-10,-1.1696
2000-03-13,-3.5503
2000-03-14,0.0
2000-03-15,0.0
2000-03-16,3.0675
2000-03-17,-0.5952
2000-03-20,0.5988
2000-03-21,3.5714
2000-03-22,-3.4483
2000-03-23,1.1905000000000001
2000-03-24,3.5294
2000-03-27,1.7045
2000-03-28,1.1173
2000-03-29,4.9724
2000-03-30,-6.3158
2000-03-31,3.3708
2000-04-03,0.0
2000-04-04,1.087
2000-04-05,1.0753
2000-04-06,-3.1915
2000-04-07,3.8462
2000-04-10,-4.7619
2000-04-11,-1.1111
2000-04-12,-14.6067
2000-04-13,7.2368
2000-04-14,3.0675
2000-04-17,0.0
2000-04-18,0.0
2000-04-19,0.0
2000-04-20,-5.3571
2000-04-24,0.0
2000-04-25,3.1447
2000-04-26,-3.6585
2000-04-27,-5.0633
2000-04-28,6.6667
2000-05-01,-3.75
2000-05-02,-1.2987
2000-05-03,-7.2368
2000-05-04,2.1277
2000-05-05,1.3889
2000-05-08,-4.1096
2000-05-09,5.7143
2000-05-10,-4.0541
2000-05-11,1.4085
2000-05-12,-2.7778
2000-05-15,5.0
2000-05-16,0.0
2000-05-17,2.7211
2000-05-18,-1.3245
2000-05-19,0.0
2000-05-22,-5.3690999999999995
2000-05-23,-0.7092
2000-05-24,2.1429
2000-05-25,7.6923
