ticker,SLCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-09-15,31900.0
2011-09-16,0.0
2011-09-26,0.0
2011-10-10,-5.0
2011-10-13,0.0
2011-11-04,0.0
2011-11-29,0.0
2011-12-22,0.0
2013-02-13,10.526299999999999
2013-02-14,0.0
2013-02-15,0.0
2013-02-19,10.4762
2013-02-20,12.069
2013-02-21,-21.5385
2013-02-22,7.8431
2013-02-25,5.4545
2013-02-26,0.0
2013-02-27,-8.6207
2013-02-28,-0.9434
2013-03-01,-4.7619
2013-03-04,2.0
2013-03-05,5.8824
2013-03-06,-5.5556
2013-03-07,3.9215999999999998
2013-03-08,-0.9434
2013-03-11,9.5238
2013-03-12,-8.6957
2013-03-13,7.619
2013-03-14,-3.5398
2013-03-15,-8.2569
2013-03-18,-4.9
2013-03-19,-5.3628
2013-03-20,-14.4444
2013-03-21,11.6883
2013-03-22,5.814
2013-03-25,-2.0742
2013-03-26,0.9959
2013-03-27,2.7778
2013-03-28,7.027
2013-04-01,-11.1111
2013-04-02,1.1364
2013-04-03,-1.1236
2013-04-04,-7.9545
2013-04-05,2.4691
2013-04-08,-5.4217
2013-04-09,7.0064
2013-04-10,-3.5714
2013-04-11,0.0
2013-04-12,11.1111
2013-04-15,5.5556
2013-04-16,-0.2105
2013-04-17,3.8502
2013-04-18,-1.9807000000000001
2013-04-19,3.1088
2013-04-22,-5.5276
2013-04-23,-20.1995
2013-04-24,5.9823
2013-04-25,4.3396
2013-04-26,-3.5714
2013-04-29,-11.2361
2013-04-30,7.7465
2013-05-01,8.2353
2013-05-02,-2.1739
2013-05-03,-6.7901
2013-05-06,-3.9735
2013-05-07,3.4483
2013-05-08,-10.6667
2013-05-09,4.4776
2013-05-10,-1.4285999999999999
2013-05-13,4.3478
2013-05-14,1.3889
2013-05-15,-4.1096
2013-05-16,-9.2143
2013-05-17,-10.2872
2013-05-20,-12.2999
2013-05-21,-18.0
2013-05-22,-5.7317
2013-05-23,15.055
2013-05-24,19.0021
2013-05-28,12.4365
2013-05-29,14.2857
2013-05-30,-1.4706000000000001
2013-05-31,-7.4627
2013-06-03,-4.2742
2013-06-04,5.3075
2013-06-05,-2.4
2013-06-06,-11.4754
2013-06-07,1.8519
2013-06-10,7.2727
2013-06-11,-7.6271
2013-06-12,-6.422
2013-06-13,7.8431
2013-06-14,-1.8182
2013-06-17,-1.8519
2013-06-18,9.434
2013-06-19,8.9655
2013-06-20,4.4304
2013-06-21,-3.0303
2013-06-24,-19.5313
