ticker,NATR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.5625
2000-01-04,-3.4615
2000-01-05,3.5857
2000-01-06,7.6923
2000-01-07,2.8571
2000-01-10,6.9444
2000-01-11,-5.1948
2000-01-12,-6.5068
2000-01-13,8.4249
2000-01-14,-4.0541
2000-01-18,3.5211
2000-01-19,-3.4013999999999998
2000-01-20,3.5211
2000-01-21,-2.7211
2000-01-24,-2.0979
2000-01-25,-2.8571
2000-01-26,0.0
2000-01-27,1.4706000000000001
2000-01-28,-1.4493
2000-01-31,2.9412000000000003
2000-02-01,-2.8571
2000-02-02,1.1029
2000-02-03,1.0909
2000-02-04,-3.5971
2000-02-07,-2.9851
2000-02-08,7.6923
2000-02-09,0.0
2000-02-10,1.7856999999999998
2000-02-11,0.3509
2000-02-14,-0.6993
2000-02-15,1.2324
2000-02-16,-0.8467
2000-02-17,-1.4085
2000-02-18,0.0
2000-02-22,-2.8571
2000-02-23,5.8824
2000-02-24,11.8056
2000-02-25,-3.1056
2000-02-28,0.0
2000-02-29,7.6923
2000-03-01,-4.7619
2000-03-02,-1.25
2000-03-03,0.0
2000-03-06,-3.7975
2000-03-07,3.2895
2000-03-08,-5.7325
2000-03-09,-2.027
2000-03-10,-1.3793
2000-03-13,-2.0979
2000-03-14,5.7143
2000-03-15,-1.3514
2000-03-16,-0.6849
2000-03-17,0.0
2000-03-20,-4.1379
2000-03-21,-2.1583
2000-03-22,-1.4706000000000001
2000-03-23,2.2388
2000-03-24,5.1095
2000-03-27,-1.3889
2000-03-28,-1.4085
2000-03-29,-1.4285999999999999
2000-03-30,-2.8986
2000-03-31,-1.4925
2000-04-03,8.3333
2000-04-04,-1.7483
2000-04-05,0.3559
2000-04-06,-3.5461
2000-04-07,-3.6765
2000-04-10,-0.7634
2000-04-11,4.6154
2000-04-12,-5.8824
2000-04-13,-0.7813
2000-04-14,0.7874
2000-04-17,-4.6875
2000-04-18,1.6393
2000-04-19,3.2258
2000-04-20,-1.5625
2000-04-24,1.5873
2000-04-25,0.0
2000-04-26,5.0781
2000-04-27,0.3717
2000-04-28,0.7407
2000-05-01,4.4118
2000-05-02,-1.4085
2000-05-03,1.4285999999999999
2000-05-04,1.4085
2000-05-05,-1.5396999999999998
2000-05-08,-1.5929
2000-05-09,0.7194
2000-05-10,-2.5
2000-05-11,-1.0989
2000-05-12,-6.6667
2000-05-15,0.0
2000-05-16,-1.5873
2000-05-17,0.4032
2000-05-18,-0.4016
2000-05-19,0.8065
