ticker,TILE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2609
2000-01-04,-13.4831
2000-01-05,3.8961
2000-01-06,-5.0
2000-01-07,5.2632
2000-01-10,0.625
2000-01-11,-0.6211
2000-01-12,-1.875
2000-01-13,1.9108
2000-01-14,1.25
2000-01-18,-6.1728
2000-01-19,2.6316
2000-01-20,0.0
2000-01-21,-0.641
2000-01-24,1.9355
2000-01-25,-2.5316
2000-01-26,-0.6494
2000-01-27,-0.9804
2000-01-28,2.3102
2000-01-31,0.6452
2000-02-01,3.8462
2000-02-02,-3.7037
2000-02-03,0.0
2000-02-04,-0.641
2000-02-07,0.6452
2000-02-08,-7.6923
2000-02-09,0.6944
2000-02-10,-0.6897
2000-02-11,0.0
2000-02-14,-2.0833
2000-02-15,2.8369
2000-02-16,-2.069
2000-02-17,1.4085
2000-02-18,-5.5556
2000-02-22,7.3529
2000-02-23,-9.589
2000-02-24,7.5758
2000-02-25,-1.4085
2000-02-28,-2.8571
2000-02-29,5.8824
2000-03-01,-1.3889
2000-03-02,2.8169
2000-03-03,-2.7397
2000-03-06,-1.4085
2000-03-07,1.4285999999999999
2000-03-08,-1.0986
2000-03-09,0.7194
2000-03-10,-2.8571
2000-03-13,2.9412000000000003
2000-03-14,-1.4285999999999999
2000-03-15,2.1739
2000-03-16,2.1277
2000-03-17,-1.3889
2000-03-20,-3.5211
2000-03-21,5.4745
2000-03-22,-3.1142
2000-03-23,2.8571
2000-03-24,-9.7222
2000-03-27,-1.5385
2000-03-28,6.25
2000-03-29,-2.9412000000000003
2000-03-30,3.0303
2000-03-31,0.0
2000-04-03,-5.8824
2000-04-04,-0.7813
2000-04-05,3.9370000000000003
2000-04-06,0.0
2000-04-07,0.0
2000-04-10,1.5152
2000-04-11,-1.4925
2000-04-12,-3.0303
2000-04-13,1.5625
2000-04-14,-1.5385
2000-04-17,-7.8125
2000-04-18,3.3898
2000-04-19,0.0
2000-04-20,0.0
2000-04-24,-2.459
2000-04-25,9.2437
2000-04-26,-10.7692
2000-04-27,1.7241
2000-04-28,-1.6949
2000-05-01,1.7241
2000-05-02,-2.5423999999999998
2000-05-03,-0.8696
2000-05-04,-1.7544
2000-05-05,0.0
2000-05-08,2.6786
2000-05-09,-2.6087
2000-05-10,-10.3214
2000-05-11,9.0909
2000-05-12,-3.7037
2000-05-15,-1.9231
2000-05-16,15.6863
2000-05-17,-6.7797
2000-05-18,-3.6364
2000-05-19,9.434
2000-05-22,0.0
