ticker,EQTD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-10,-71.4286
2004-12-13,94.0
2005-02-16,-84.5361
2005-02-18,-60.0
2005-02-24,-16.6667
2005-03-15,220.0
2005-03-17,-57.5
2005-03-18,10.2941
2005-03-21,-20.0
2005-03-22,0.0
2005-03-23,-8.3333
2005-03-28,-9.0909
2005-03-30,18.0
2005-04-04,-3.3898
2005-04-05,-47.3684
2005-04-06,-33.3333
2005-04-07,25.0
2005-04-12,0.0
2005-04-13,-20.0
2005-04-15,-10.0
2005-04-19,0.0
2005-05-06,11.1111
2005-05-09,25.0
2005-05-11,-52.0
2005-05-12,0.0
2005-06-06,25.0
2005-06-07,6.6667
2005-06-08,25.0
2005-06-09,25.0
2005-06-10,12.0
2005-06-13,-14.2857
2005-06-14,12.5
2005-06-15,-3.7037
2005-06-16,0.0
2005-06-17,0.0
2005-06-20,-3.8462
2005-06-21,4.0
2005-06-22,-11.538499999999999
2005-06-23,-4.3478
2005-06-24,-4.5455
2005-06-28,23.8095
2005-06-29,-11.538499999999999
2005-06-30,8.6957
2005-07-06,-60.0
2005-07-11,0.0
2005-07-13,130.0
2005-07-14,-56.5217
2005-07-15,150.0
2005-07-18,-60.0
2005-07-19,110.0
2005-07-20,-52.381
2005-07-21,0.0
2005-07-26,0.0
2005-07-27,0.0
2005-07-28,0.0
2005-08-01,-50.0
2005-08-02,100.0
2005-08-03,0.0
2005-08-04,0.0
2005-08-05,0.0
2005-08-10,-15.0
2005-08-11,17.647100000000002
2005-08-16,0.0
2005-08-18,0.0
2005-08-19,0.0
2005-08-22,0.0
2005-08-23,0.0
2005-08-24,0.0
2005-08-25,-20.0
2005-08-31,-37.5
2005-09-06,0.0
2005-09-09,80.0
2005-09-12,-77.7778
2005-09-19,-50.0
2005-09-23,312.5
2005-09-26,69.697
2005-10-06,-85.7143
2005-10-07,-81.25
2005-11-17,-33.3333
2005-11-21,150.0
2005-11-30,-40.0
2006-03-31,4700.0
2006-04-05,-22.2222
2006-04-26,-98.2143
2006-06-27,7900.0
2006-06-28,-90.0
2006-07-11,700.0
2006-07-12,-37.5
2006-07-17,0.0
2006-07-18,200.0
2006-07-19,66.6667
2006-07-20,-40.0
2006-07-21,46.6667
2006-07-24,-9.0909
2006-07-25,-3.125
2006-07-26,-22.5806
2006-07-27,0.0
2006-07-28,-6.6667
2006-07-31,7.1429
2006-08-01,-13.3333
2006-08-02,15.3846
2006-08-03,0.0
2006-08-04,12.5
2006-08-07,-11.1111
