ticker,SYBX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-01,0.7143
2015-10-02,-0.1418
2015-10-05,-0.5682
2015-10-06,0.2857
2015-10-07,-8.4046
2015-10-08,-3.1104
2015-10-09,-1.2841
2015-10-12,5.0407
2015-10-13,-2.4274
2015-10-14,-0.8438
2015-10-15,0.64
2015-10-16,-4.6105
2015-10-19,-1.0
2015-10-20,-2.0202
2015-10-21,-0.6873
2015-10-22,-2.0761
2015-10-23,1.9435
2015-10-26,4.3761
2015-10-27,-2.2001
2015-10-28,-0.8489
2015-10-29,1.5411000000000001
2015-10-30,-2.5295
2015-11-02,0.346
2015-11-03,-0.5172
2015-11-04,1.9064
2015-11-05,1.0204
2015-11-06,5.5556
2015-11-09,-0.638
2015-11-10,-2.3274
2015-11-11,2.0542
2015-11-12,-0.8052
2015-11-13,-1.1364
2015-11-16,-6.7323
2015-11-17,5.8099
2015-11-18,0.2496
2015-11-19,2.2407
2015-11-20,-4.8701
2015-11-23,-0.1706
2015-11-24,-0.1709
2015-11-25,1.7123
2015-11-27,0.5051
2015-11-30,-4.0201
2015-12-01,4.9738
2015-12-02,3.9069000000000003
2015-12-03,-1.28
2015-12-04,-0.6483
2015-12-07,-0.9788
2015-12-08,1.8101
2015-12-09,3.5620000000000003
2015-12-10,3.125
2015-12-11,7.5758
2015-12-14,12.5352
2015-12-15,-1.2516
2015-12-16,-3.6755
2015-12-17,24.0789
2015-12-18,-23.5419
2015-12-21,-6.1026
2015-12-22,-1.1817
2015-12-23,-1.0463
2015-12-24,-1.8108
2015-12-28,-8.3095
2015-12-29,3.1879
2015-12-30,-6.9919
2015-12-31,9.2657
2016-01-04,-0.64
2016-01-05,-1.7713
2016-01-06,2.1311
2016-01-07,-6.9021
2016-01-08,-3.4483
2016-01-11,0.7143
2016-01-12,6.4716000000000005
2016-01-13,-0.0833
2016-01-14,-2.5
2016-01-15,0.0
2016-01-19,-3.7607
2016-01-20,-10.1243
2016-01-21,-15.6126
2016-01-22,0.0
2016-01-25,5.8548
2016-01-26,3.3186
2016-01-27,-3.212
2016-01-28,3.3186
2016-01-29,-3.4261
2016-02-01,-10.8647
2016-02-02,-4.7264
2016-02-03,5.483
2016-02-04,-1.8564
2016-02-05,-1.384
2016-02-08,17.6433
2016-02-09,6.9565
2016-02-10,4.6748
2016-02-11,-1.7476
2016-02-12,-3.7549
2016-02-16,-9.9589
2016-02-17,-7.9818
2016-02-18,1.631
2016-02-19,-2.2145
2016-02-22,-0.7481
