ticker,AUSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-10,0.0
2006-02-13,0.0
2006-02-14,0.0
2006-02-21,0.0
2006-02-22,6.0
2006-02-23,2.2013
2006-02-28,0.0
2006-03-01,-3.0769
2006-03-03,3.1746
2006-03-07,-10.7692
2006-03-08,0.0
2006-03-09,-67.2414
2006-03-10,5.2632
2006-03-13,40.0
2006-03-14,110.7143
2006-03-15,-6.7797
2006-03-17,-45.4545
2006-03-21,-5.3333
2006-03-22,12.6761
2006-03-23,-34.375
2006-03-24,23.8095
2006-03-27,-11.538499999999999
2006-03-28,-4.3478
2006-03-29,18.1818
2006-03-30,-15.3846
2006-03-31,0.0
2006-04-04,0.0
2006-04-07,9.0909
2006-04-10,-8.3333
2006-04-11,0.0
2006-04-12,0.0
2006-04-17,4.5455
2006-04-18,0.0
2006-04-19,4.3478
2006-04-20,0.0
2006-04-21,-33.3333
2006-04-24,11.25
2006-04-25,12.3596
2006-04-26,-5.0
2006-04-27,5.2632
2006-04-28,-8.0
2006-05-01,8.6957
2006-05-03,-5.0
2006-05-04,2.1053
2006-05-05,-12.3711
2006-05-08,0.0
2006-05-09,5.8824
2006-05-10,-20.0
2006-05-11,-23.6111
2006-05-12,0.0
2006-05-15,0.0
2006-05-16,9.0909
2006-05-17,25.0
2006-05-18,-13.3333
2006-05-19,15.3846
2006-05-22,-13.3333
2006-05-23,-6.1538
2006-05-24,-1.6393
2006-05-25,0.0
2006-05-26,0.0
2006-05-30,0.0
2006-05-31,0.0
2006-06-01,8.3333
2006-06-02,-10.7692
2006-06-05,3.4483
2006-06-06,-3.3333
2006-06-07,0.0
2006-06-08,0.0
2006-06-09,-8.6207
2006-06-12,0.0
2006-06-13,13.2075
2006-06-15,0.0
2006-06-16,0.0
2006-06-19,-8.3333
2006-06-20,5.4545
2006-06-21,-5.1724
2006-06-22,3.6364
2006-06-23,0.0
2006-06-26,1.7544
2006-06-27,3.4483
2006-06-28,5.0
2006-06-29,0.0
2006-06-30,9.5238
2006-07-03,1.4493
2006-07-05,0.0
2006-07-06,5.7143
2006-07-07,-1.3514
2006-07-10,1.3699
2006-07-11,8.1081
2006-07-12,0.0
2006-07-13,0.0
2006-07-14,-6.25
2006-07-17,6.6667
2006-07-18,0.0
2006-07-19,-12.5
2006-07-20,7.1429
2006-07-21,-1.3333
2006-07-24,-5.4054
2006-07-25,14.2857
2006-07-26,-10.0
2006-07-27,11.1111
2006-07-28,12.5
2006-07-31,0.0
