ticker,BLFR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-25,5.4545
2013-06-26,5.1724
2013-06-27,-0.7992
2013-06-28,-12.4148
2013-07-01,-22.6415
2013-07-02,-2.439
2013-07-03,10.0
2013-07-05,2.2727
2013-07-08,4.4444
2013-07-09,12.766
2013-07-10,7.5472
2013-07-11,-10.526299999999999
2013-07-12,7.8431
2013-07-15,9.0909
2013-07-16,-15.0
2013-07-17,5.8824
2013-07-18,9.2593
2013-07-19,6.7797
2013-07-22,0.0
2013-07-23,1.5873
2013-07-24,-9.375
2013-07-25,18.9655
2013-07-26,1.4493
2013-07-29,3.4732
2013-07-30,0.0949
2013-07-31,6.1897
2013-08-01,-1.2827
2013-08-02,1.3158
2013-08-05,3.8961
2013-08-06,-0.0156
2013-08-07,-6.2353
2013-08-08,-1.3333
2013-08-09,2.6351
2013-08-12,-9.8091
2013-08-13,2.1898
2013-08-14,-0.0179
2013-08-15,-5.6974
2013-08-16,5.1326
2013-08-19,-1.279
2013-08-20,-11.6788
2013-08-21,0.8264
2013-08-22,1.6393
2013-08-23,-3.2258
2013-08-26,-8.3333
2013-08-27,-12.7273
2013-08-28,1.849
2013-08-29,2.2756
2013-08-30,4.0
2013-09-03,-5.7692
2013-09-04,-4.0816
2013-09-05,4.2553
2013-09-06,0.0
2013-09-09,-1.0204
2013-09-10,-4.7165
2013-09-11,1.7041
2013-09-12,-8.5372
2013-09-13,-6.9788
2013-09-16,-10.3157
2013-09-17,-7.9818999999999996
2013-09-18,-4.5455
2013-09-19,1.5873
2013-09-20,6.25
2013-09-23,1.3787
2013-09-24,0.0907
2013-09-25,-2.8442
2013-09-26,-11.9896
2013-09-27,-3.3898
2013-09-30,-29.8246
2013-10-01,30.0
2013-10-02,0.0
2013-10-03,5.7692
2013-10-04,14.5455
2013-10-07,-1.5873
2013-10-08,1.9355
2013-10-09,1.2658
2013-10-10,0.0
2013-10-11,-18.75
2013-10-14,11.0817
2013-10-15,8.8509
2013-10-16,1.7893
2013-10-17,0.0
2013-10-18,7.8125
2013-10-21,1.4493
2013-10-22,-2.8571
2013-10-23,-1.3235000000000001
2013-10-24,15.6483
2013-10-25,3.0928
2013-10-28,-4.9688
2013-10-29,5.2285
2013-10-30,1.25
2013-10-31,-6.1728
2013-11-01,0.7895
2013-11-04,3.1332
2013-11-05,-16.4557
2013-11-06,3.0303
2013-11-07,-2.9412000000000003
2013-11-08,-3.0303
2013-11-11,-3.9063
2013-11-12,10.5691
