ticker,ALME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-01-15,6.6667
2010-01-21,0.0
2010-01-22,12.5
2010-01-25,0.0
2010-02-10,0.0
2010-02-11,0.0
2010-02-12,0.0
2010-02-16,24.4444
2010-02-17,2.6786
2010-02-18,0.0
2010-02-19,0.0
2010-02-22,0.0
2010-02-23,-2.6087
2010-02-24,5.3571
2010-02-25,0.0
2010-03-03,-3.3898
2010-03-04,2.6316
2010-03-05,0.8547
2010-03-08,10.1695
2010-03-09,7.6923
2010-03-10,-2.8571
2010-03-11,4.4118
2010-03-12,-7.0423
2010-03-15,4.5455
2010-03-16,-2.1739
2010-03-17,0.0
2010-03-18,3.7037
2010-03-19,0.0
2010-03-22,7.1429
2010-03-23,12.0
2010-03-24,-4.1667
2010-03-25,3.7267
2010-03-26,-4.1916
2010-03-29,6.25
2010-03-30,1.7647
2010-03-31,9.2486
2010-04-01,5.8201
2010-04-05,11.0
2010-04-06,3.6036
2010-04-07,7.3913
2010-04-08,-0.8097
2010-04-09,-20.4082
2010-04-12,-21.0321
2010-04-13,-12.9799
2010-04-14,-2.9851
2010-04-15,17.6923
2010-04-16,6.5359
2010-04-19,-12.8834
2010-04-20,-1.4085
2010-04-21,0.0
2010-04-22,2.1429
2010-04-23,6.993
2010-04-26,13.7255
2010-04-27,-2.8736
2010-04-28,5.3254
2010-04-29,-1.6854
2010-04-30,-1.1429
2010-05-03,-4.0462
2010-05-04,2.4096
2010-05-05,0.0
2010-05-06,-5.2941
2010-05-07,-2.4845
2010-05-10,-1.2739
2010-05-11,7.0968
2010-05-12,-1.8072
2010-05-13,-4.908
2010-05-14,-3.2258
2010-05-17,-3.3333
2010-05-18,0.0
2010-05-19,-1.3793
2010-05-20,-9.0909
2010-05-21,-0.7692
2010-05-24,-6.9767
2010-05-25,-8.3333
2010-05-26,1.8182
2010-05-27,0.8929
2010-05-28,2.6549
2010-06-01,7.7586
2010-06-02,10.4
2010-06-03,8.6957
2010-06-04,-0.6667
2010-06-07,0.6711
2010-06-08,-4.6667
2010-06-09,0.6993
2010-06-10,-9.7222
2010-06-11,-0.7692
2010-06-14,0.7752
2010-06-15,7.6923
2010-06-16,2.8571
2010-06-17,2.0833
2010-06-18,-0.5442
2010-06-21,-0.8208
2010-06-22,-4.1379
2010-06-23,-2.1583
2010-06-24,0.7353
2010-06-25,-1.4599
2010-06-28,-3.7037
2010-06-29,-6.1538
2010-06-30,-4.0984
2010-07-01,-10.2564
2010-07-02,22.8571
