ticker,PRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-01,31.0
2010-04-05,1.0178
2010-04-06,-0.2519
2010-04-07,1.0606
2010-04-08,6.4468
2010-04-09,9.5775
2010-04-12,4.5844000000000005
2010-04-13,2.2122
2010-04-14,-0.7615
2010-04-15,-7.9564
2010-04-16,-0.0439
2010-04-19,2.2827
2010-04-20,1.7167
2010-04-21,-0.0422
2010-04-22,1.6040999999999999
2010-04-23,2.3681
2010-04-26,1.5422
2010-04-27,-1.3989
2010-04-28,-3.5266
2010-04-29,-0.2941
2010-04-30,-0.0421
2010-05-03,0.1265
2010-05-04,0.0421
2010-05-05,0.5051
2010-05-06,1.5913
2010-05-07,0.2473
2010-05-10,1.3158
2010-05-11,0.8929
2010-05-12,1.1665
2010-05-13,1.3121
2010-05-14,-3.6499
2010-05-17,-0.6925
2010-05-18,0.1231
2010-05-19,0.2048
2010-05-20,-5.7645
2010-05-21,3.2104
2010-05-24,0.4203
2010-05-25,-0.1674
2010-05-26,-1.5514000000000001
2010-05-27,1.9590999999999998
2010-05-28,-1.0025
2010-06-01,0.1688
2010-06-02,0.674
2010-06-03,-1.2134
2010-06-04,-3.5578
2010-06-07,-4.7431
2010-06-08,-3.2734
2010-06-09,0.429
2010-06-10,1.7561
2010-06-11,-0.0933
2010-06-14,0.4669
2010-06-15,0.3253
2010-06-16,-0.139
2010-06-17,-0.7421
2010-06-18,-0.0467
2010-06-21,0.4675
2010-06-22,1.4425
2010-06-23,1.8349
2010-06-24,-0.5856
2010-06-25,2.628
2010-06-28,-2.7373
2010-06-29,-1.271
2010-06-30,-1.4253
2010-07-01,0.0
2010-07-02,1.0261
2010-07-06,-1.2465
2010-07-07,-0.8883
2010-07-08,-1.9811
2010-07-09,0.6256
2010-07-12,-1.626
2010-07-13,3.1599
2010-07-14,-1.131
2010-07-15,-0.0953
2010-07-16,2.0038
2010-07-19,-1.2629000000000001
2010-07-20,2.0843
2010-07-21,-2.8306
2010-07-22,2.149
2010-07-23,3.2726
2010-07-26,2.5351
2010-07-27,1.9868000000000001
2010-07-28,-1.039
2010-07-29,1.0499
2010-07-30,1.1688
2010-08-02,0.2995
2010-08-03,-3.5836
2010-08-04,2.2124
2010-08-05,-1.039
2010-08-06,-2.056
2010-08-09,1.3845
2010-08-10,-2.9074999999999998
2010-08-11,-3.902
2010-08-12,-0.2361
2010-08-13,-0.7572
2010-08-16,1.0968
2010-08-17,0.8491
2010-08-18,-0.4677
2010-08-19,-2.2086
