ticker,LEAF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-01-26,33.2353
2011-01-27,-3.532
2011-01-28,-6.4531
2011-01-31,-0.7828
2011-02-01,4.5365
2011-02-02,-0.4717
2011-02-03,-3.7915
2011-02-04,-3.3005
2011-02-07,-2.5981
2011-02-08,0.0523
2011-02-09,-2.4046
2011-02-10,1.339
2011-02-11,4.8626000000000005
2011-02-14,3.629
2011-02-15,1.0214
2011-02-16,1.3961999999999999
2011-02-17,1.9943
2011-02-18,5.4004
2011-02-22,1.0601
2011-02-23,-5.7255
2011-02-24,4.7752
2011-02-25,1.5929
2011-02-28,-2.0035
2011-03-01,1.2
2011-03-02,-1.581
2011-03-03,9.6386
2011-03-04,-0.0814
2011-03-07,-4.6843
2011-03-08,1.1538
2011-03-09,-2.7883
2011-03-10,-1.9122
2011-03-11,-6.0257
2011-03-14,-2.1688
2011-03-15,-2.3614
2011-03-16,3.5538
2011-03-17,-0.715
2011-03-18,0.048
2011-03-21,4.1267
2011-03-22,-1.2442
2011-03-23,-1.8199
2011-03-24,-1.2357
2011-03-25,-2.4062
2011-03-28,2.4162
2011-03-29,5.922
2011-03-30,4.4545
2011-03-31,2.4804
2011-04-01,2.8875
2011-04-04,-0.6603
2011-04-05,-1.2879
2011-04-06,1.6835
2011-04-07,-1.7384
2011-04-08,-3.9596
2011-04-11,-2.0614
2011-04-12,-5.5531
2011-04-13,2.0863
2011-04-14,-6.3168
2011-04-15,-3.9167
2011-04-18,-10.5779
2011-04-19,-5.6549
2011-04-20,-3.0581
2011-04-21,-3.9116999999999997
2011-04-25,-3.5456
2011-04-26,2.5868
2011-04-27,-1.1280999999999999
2011-04-28,4.6309000000000005
2011-04-29,6.2861
2011-05-02,-8.268
2011-05-03,-2.4342
2011-05-04,6.2036
2011-05-05,3.5556
2011-05-06,3.2495
2011-05-09,-0.7126
2011-05-10,-2.8708
2011-05-11,-3.7561999999999998
2011-05-12,-3.135
2011-05-13,5.4161
2011-05-16,-1.2530999999999999
2011-05-17,-6.3452
2011-05-18,-1.084
2011-05-19,-5.0685
2011-05-20,-1.8759000000000001
2011-05-23,-5.3676
2011-05-24,6.3714
2011-05-25,-0.6574
2011-05-26,1.0294
2011-05-27,5.0218
2011-05-31,5.4054
2011-06-01,-1.7751000000000001
2011-06-02,-2.8782
2011-06-03,-2.3432
2011-06-06,-7.0572
2011-06-07,3.3409
2011-06-08,-3.6738
2011-06-09,2.2883
2011-06-10,0.2237
2011-06-13,-2.2321
