ticker,TTEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.7353
2000-01-04,-12.9964
2000-01-05,-2.4896
2000-01-06,-4.4681
2000-01-07,11.3586
2000-01-10,0.4
2000-01-11,-2.3904
2000-01-12,3.2653
2000-01-13,-3.1621
2000-01-14,1.2245
2000-01-18,1.2097
2000-01-19,1.5936
2000-01-20,-0.9804
2000-01-21,-1.7822
2000-01-24,-7.2581
2000-01-25,-1.7391
2000-01-26,1.3274
2000-01-27,-6.9869
2000-01-28,-5.1643
2000-01-31,-4.703
2000-02-01,2.5974
2000-02-02,5.0633
2000-02-03,11.3253
2000-02-04,0.6494
2000-02-07,-7.957
2000-02-08,-3.271
2000-02-09,6.5217
2000-02-10,7.9365
2000-02-11,2.1008
2000-02-14,11.9342
2000-02-15,-2.5735
2000-02-16,-1.6981000000000002
2000-02-17,13.8196
2000-02-18,-4.0472
2000-02-22,12.478
2000-02-23,7.8125
2000-02-24,-3.4783
2000-02-25,-3.6036
2000-02-28,-2.4922
2000-02-29,-3.1949
2000-03-01,0.33
2000-03-02,6.0855
2000-03-03,-0.7752
2000-03-06,-0.4688
2000-03-07,-4.8666
2000-03-08,5.9406
2000-03-09,-1.2461
2000-03-10,-1.2618
2000-03-13,-2.8754
2000-03-14,-9.2105
2000-03-15,1.087
2000-03-16,1.9713
2000-03-17,3.6907
2000-03-20,0.0
2000-03-21,-5.5931999999999995
2000-03-22,0.3591
2000-03-23,0.3578
2000-03-24,-3.0303
2000-03-27,-9.375
2000-03-28,4.0568
2000-03-29,-2.1442
2000-03-30,-1.5936
2000-03-31,11.7409
2000-04-03,-2.5362
2000-04-04,-7.2491
2000-04-05,10.4208
2000-04-06,6.1706
2000-04-07,4.2735
2000-04-10,4.7541
2000-04-11,-2.3474
2000-04-12,-8.1731
2000-04-13,-0.8726
2000-04-14,-12.1479
2000-04-17,-3.6071999999999997
2000-04-18,23.0769
2000-04-19,-2.3649
2000-04-20,-2.9412000000000003
2000-04-24,-3.7433
2000-04-25,-2.2222
2000-04-26,-1.8939
2000-04-27,3.2819
2000-04-28,-2.4299
2000-05-01,2.2989
2000-05-02,-1.8727
2000-05-03,-3.4351
2000-05-04,2.3715
2000-05-05,11.583
2000-05-08,-5.5363
2000-05-09,-4.2125
2000-05-10,-4.7801
2000-05-11,2.2088
2000-05-12,0.9823
2000-05-15,3.1128
2000-05-16,4.9056999999999995
2000-05-17,-4.8561
2000-05-18,-2.4575
2000-05-19,-6.5891
