ticker,SNCR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-15,10.625
2006-06-16,-3.0508
2006-06-19,-0.9324
2006-06-20,-1.0588
2006-06-21,1.1891
2006-06-22,4.5828
2006-06-23,0.0
2006-06-26,1.0112
2006-06-27,-0.2225
2006-06-28,-1.4493
2006-06-29,-1.3575
2006-06-30,-0.4587
2006-07-03,-1.0714
2006-07-05,-0.7802
2006-07-06,-0.5869
2006-07-07,-2.5974
2006-07-10,-0.6061
2006-07-11,-5.4878
2006-07-12,5.0323
2006-07-13,-1.1057
2006-07-14,-4.9689
2006-07-17,-1.9607999999999999
2006-07-18,-5.3333
2006-07-19,-2.6761
2006-07-20,-3.7627
2006-07-21,-4.5113
2006-07-24,12.9134
2006-07-25,-3.0683
2006-07-26,3.3094
2006-07-27,1.2535
2006-07-28,3.8514
2006-07-31,2.649
2006-08-01,-5.1613
2006-08-02,-1.0884
2006-08-03,-0.9629
2006-08-04,-4.8611
2006-08-07,0.0
2006-08-08,-1.3139
2006-08-09,6.3609
2006-08-10,-4.7288
2006-08-11,-0.7299
2006-08-14,0.4412
2006-08-15,2.7818
2006-08-16,-0.5698
2006-08-17,4.298
2006-08-18,2.3352
2006-08-21,0.1342
2006-08-22,3.2172
2006-08-23,4.9351
2006-08-24,1.4851
2006-08-25,2.439
2006-08-28,2.1429
2006-08-29,2.5641
2006-08-30,2.8409
2006-08-31,3.9779
2006-09-01,2.0191
2006-09-05,4.6875
2006-09-06,-0.4975
2006-09-07,-9.2
2006-09-08,-2.9736000000000002
2006-09-11,-4.1998
2006-09-12,0.3555
2006-09-13,7.6741
2006-09-14,2.7412
2006-09-15,5.5496
2006-09-18,0.4044
2006-09-19,4.6324
2006-09-20,-2.3099
2006-09-21,2.4631
2006-09-22,-0.2885
2006-09-25,-5.6895
2006-09-26,-0.7157
2006-09-27,2.9866
2006-09-28,4.2069
2006-09-29,-9.0271
2006-10-02,-5.9072
2006-10-03,-0.1121
2006-10-04,-1.5713
2006-10-05,4.4456
2006-10-06,-1.7454
2006-10-09,-5.1111
2006-10-10,1.7564
2006-10-11,4.4879
2006-10-12,1.2115
2006-10-13,2.3939
2006-10-16,2.763
2006-10-17,0.7239
2006-10-18,-0.7187
2006-10-19,-1.1375
2006-10-20,-1.569
2006-10-23,-2.2317
2006-10-24,-3.2609
2006-10-25,0.5618
2006-10-26,4.2458
2006-10-27,9.8607
2006-10-30,-1.9512
2006-10-31,0.199
2006-11-01,-1.5889
2006-11-02,0.1009
