ticker,LGNC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-25,7.2555
2000-02-22,-1.9607999999999999
2000-03-13,12.0
2000-03-30,0.0
2000-05-04,-9.8214
2000-05-12,10.8911
2000-07-26,-10.267900000000001
2000-07-28,5.4726
2000-08-23,4.717
2000-08-24,1.8018
2001-07-19,-6.7496
2001-08-27,6.8571
2002-01-10,52.7273
2002-09-20,-26.1905
2002-10-08,0.0
2002-12-10,25.8065
2003-06-25,-14.5078
2003-07-10,0.0
2003-07-21,-7.5758
2003-09-16,16.3934
2003-09-17,-1.4085
2004-02-06,2.9412000000000003
2004-07-06,-9.0
2004-07-08,0.0
2004-07-16,4.7096
2004-08-06,0.4498
2004-09-22,-1.4925
2004-09-23,4.8485
2005-12-29,-4.048
2006-01-27,20.3252
2006-08-04,20.2703
2006-08-28,10.1124
2008-02-12,14.7727
2008-09-10,0.9901
2008-09-16,3.9215999999999998
2008-11-06,-1.4151
2009-04-13,-0.4975
2009-04-29,2.0
2009-05-07,1.9607999999999999
2009-08-13,7.6923
2010-06-28,5.0926
2010-07-02,3.9648
2010-11-26,32.2034
2010-11-29,-3.8462
2012-11-08,-14.539
2012-11-12,4.9793
2013-09-10,31.6872
2013-10-07,-1.25
2013-11-22,26.5823
2014-03-28,0.0
2014-04-21,0.0
2015-02-25,86.1702
2015-05-08,2.8571
2015-08-24,3.8889
2015-09-01,2.6738
2015-10-20,1.5521
2016-01-28,14.7447
2016-02-02,-0.9136
2016-03-15,37.6164
2016-04-01,0.0
2016-04-04,-0.1633
2016-04-13,-0.1703
2016-04-26,-8.027
2016-05-04,-1.8546
2016-05-11,-0.3705
2016-05-31,-7.0512
2016-06-07,-7.9742
2016-06-08,-2.1957
2016-06-16,-5.3123000000000005
2016-06-17,-1.4085
2016-07-18,2.4048
2016-07-26,-0.0233
2016-11-03,2.3487999999999998
2017-01-05,18.155
2017-01-06,-3.8462
2017-01-10,4.0
2017-01-17,-2.1231
2017-01-25,8.036
2017-01-27,-12.7051
2017-02-09,12.2881
2017-03-03,-1.1320999999999999
2017-03-06,-0.7634
2017-03-08,-1.9231
2017-04-24,-5.4863
2017-04-25,5.7964
2017-05-10,-5.0906
2017-05-17,-0.4091
2017-05-26,0.4108
2017-06-07,3.1942
2017-07-14,-0.004
2017-07-17,0.0
2017-09-19,-0.0681
2017-10-10,-1.6229
2017-10-12,1.6171
2017-10-17,-1.7917999999999998
2017-10-18,-0.1551
2017-10-19,0.0
2017-10-20,0.0
2017-11-06,0.9688
2017-11-09,0.0
2017-11-13,-0.9596
2017-11-15,1.3817
2017-12-04,0.0
2017-12-08,0.0
2017-12-12,-5.2419
2017-12-13,0.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-29,0.4255
2018-01-24,1.2711999999999999
2018-02-01,1.919
2018-02-07,-1.4644
2018-02-15,1.9108
2018-02-16,0.0
2018-03-06,0.0
2018-03-29,6.25
2018-04-17,-5.0588
2018-04-23,3.2631
2018-05-30,0.8
2018-06-18,0.3968
2018-08-08,2.7628
2018-08-16,-2.1116
2018-08-28,0.3929
2018-08-31,0.3914
2018-09-13,0.0
2018-09-18,-0.5848
2018-09-19,0.5882
2018-10-09,-0.5848
2018-10-31,0.0
2018-12-06,1.9607999999999999
2018-12-12,-1.7308
2018-12-17,0.3914
2018-12-19,-0.3899
2019-02-22,1.5896
2019-02-26,-2.3491
2019-03-07,-0.004
2019-03-18,2.8033
2019-03-20,-3.1136
2019-04-10,0.8065
2019-04-17,-0.4
2019-04-23,2.4056
2019-04-25,0.3883
2019-04-29,-0.3828
2019-06-24,-0.3922
2019-07-10,0.0
2019-08-14,-0.315
2019-09-13,6.2006
2019-09-26,-5.5411
2019-09-27,0.3937
2019-10-10,-1.9607999999999999
2019-10-29,4.0
2019-12-02,-6.9231
2019-12-06,7.438
2019-12-09,0.0
2019-12-16,15.0
2019-12-23,30.131
2020-01-14,-19.1241
2020-02-10,13.7372
2020-02-20,-12.0818
2020-02-24,0.0
2020-02-25,-0.4228
2020-02-27,-2.3355
2020-03-03,-8.6957
2020-03-09,-2.3810000000000002
2020-03-16,-5.2683
2020-03-23,0.1545
2020-04-14,1.0282
2020-04-22,0.514
2020-05-28,18.9813
2020-06-03,-15.9532
2020-06-19,-10.3843
2020-07-22,10.7345
2020-07-28,9.0561
