ticker,NBLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-15,16.4444
2016-09-16,0.229
2016-09-19,0.5331
2016-09-20,-0.303
2016-09-21,0.3419
2016-09-22,1.2495
2016-09-23,0.5984
2016-09-26,2.2305
2016-09-27,-1.0909
2016-09-28,2.2794
2016-09-29,-0.7189
2016-09-30,1.0138
2016-10-03,-1.147
2016-10-04,0.7614
2016-10-05,0.072
2016-10-06,-0.036
2016-10-07,-0.3237
2016-10-10,2.5262000000000002
2016-10-11,-0.0704
2016-10-12,2.3952
2016-10-13,-1.0664
2016-10-14,1.7038
2016-10-17,4.2735
2016-10-18,-0.2623
2016-10-19,-1.8738000000000001
2016-10-20,0.6365
2016-10-21,0.5326
2016-10-24,2.649
2016-10-25,-0.9677
2016-10-26,-0.1954
2016-10-27,1.7624
2016-10-28,-2.1809
2016-10-31,-1.6393
2016-11-01,-3.3667
2016-11-02,3.346
2016-11-03,-0.3338
2016-11-04,0.1005
2016-11-07,0.9033
2016-11-08,-1.9562
2016-11-09,1.2175
2016-11-10,-1.2362
2016-11-11,0.1691
2016-11-14,0.5404
2016-11-15,3.6278
2016-11-16,3.8898
2016-11-17,0.3744
2016-11-18,0.5906
2016-11-21,-1.3288
2016-11-22,2.3176
2016-11-23,0.153
2016-11-25,3.8509
2016-11-28,-1.7069
2016-11-29,-1.8563
2016-11-30,-2.166
2016-12-01,0.686
2016-12-02,-0.4336
2016-12-05,-0.591
2016-12-06,5.1627
2016-12-07,2.7075
2016-12-08,0.0869
2016-12-09,1.6208
2016-12-12,2.6203
2016-12-13,6.3281
2016-12-14,-4.307
2016-12-15,-1.0911
2016-12-16,-0.3585
2016-12-19,2.7955
2016-12-20,-1.9925000000000002
2016-12-21,-0.3571
2016-12-22,1.8473000000000002
2016-12-23,-0.0271
2016-12-27,-0.8394
2016-12-28,0.8738
2016-12-29,-0.7869
2016-12-30,-1.7717
2017-01-03,1.7778
2017-01-04,-0.0546
2017-01-05,0.9558
2017-01-06,2.759
2017-01-09,-0.1053
2017-01-10,-0.0361
2017-01-11,-0.2539
2017-01-12,1.0307
2017-01-13,-0.4185
2017-01-17,11.2424
2017-01-18,-1.4168
2017-01-19,2.4431
2017-01-20,0.6547
2017-01-23,-0.0929
2017-01-24,2.3018
2017-01-25,-2.2727
2017-01-26,1.2093
2017-01-27,-1.2408
2017-01-30,-0.1629
2017-01-31,1.1885
2017-02-01,1.3819
2017-02-02,2.4609
2017-02-03,2.0819
2017-02-06,2.0175
