ticker,FOXF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-08,24.0667
2013-08-09,-0.5911
2013-08-12,-2.2702999999999998
2013-08-13,-3.042
2013-08-14,-1.2778
2013-08-15,-4.0795
2013-08-16,1.7469999999999999
2013-08-19,1.0065
2013-08-20,1.6413
2013-08-21,-1.6724
2013-08-22,0.8798
2013-08-23,1.3372
2013-08-26,2.8686
2013-08-27,-1.3942999999999999
2013-08-28,2.7715
2013-08-29,1.2107999999999999
2013-08-30,-1.2507
2013-09-03,-2.8634
2013-09-04,0.6803
2013-09-05,-0.4505
2013-09-06,0.3959
2013-09-09,-0.7324
2013-09-10,0.454
2013-09-11,3.2203
2013-09-12,2.2441
2013-09-13,0.1071
2013-09-16,-2.4064
2013-09-17,-3.5068
2013-09-18,5.4514
2013-09-19,-1.0232
2013-09-20,-1.0337
2013-09-23,4.6289
2013-09-24,0.0946
2013-09-25,0.2625
2013-09-26,3.9267
2013-09-27,0.2116
2013-09-30,-3.1269
2013-10-01,1.9304999999999999
2013-10-02,0.1935
2013-10-03,-3.5568999999999997
2013-10-04,2.8978
2013-10-07,-4.8643
2013-10-08,-3.9290000000000003
2013-10-09,-2.577
2013-10-10,-0.4715
2013-10-11,-0.3351
2013-10-14,-1.6812
2013-10-15,0.3538
2013-10-16,0.5875
2013-10-17,0.1168
2013-10-18,-1.1085
2013-10-21,-1.7109
2013-10-22,-3.6014
2013-10-23,6.4757
2013-10-24,2.2222
2013-10-25,-0.0572
2013-10-28,0.2862
2013-10-29,-0.5708
2013-10-30,0.287
2013-10-31,-0.2862
2013-11-01,-0.0574
2013-11-04,0.3446
2013-11-05,0.7441
2013-11-06,3.6932
2013-11-07,-6.5753
2013-11-08,2.2287
2013-11-11,0.0574
2013-11-12,0.172
2013-11-13,1.3738000000000001
2013-11-14,2.3151
2013-11-15,2.649
2013-11-18,-0.8602
2013-11-19,4.6095
2013-11-20,-1.7107
2013-11-21,-0.7384
2013-11-22,-1.5939999999999999
2013-11-25,-1.9438
2013-11-26,1.1564
2013-11-27,-0.8165
2013-11-29,0.8782
2013-12-02,-2.5027
2013-12-03,-3.0692
2013-12-04,-0.5757
2013-12-05,-2.3741
2013-12-06,2.3725
2013-12-09,0.8691
2013-12-10,-2.0678
2013-12-11,0.0587
2013-12-12,0.3517
2013-12-13,-0.7593
2013-12-16,1.3537
2013-12-17,-0.4065
2013-12-18,-2.0991
2013-12-19,0.5956
2013-12-20,3.138
2013-12-23,3.4443
2013-12-24,2.4417
