ticker,KFS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,-7.0764
2000-01-27,-34.8697
2000-01-28,-0.6154
2000-02-22,-8.9783
2000-02-23,0.0
2000-07-27,24.4898
2000-08-22,12.0219
2000-09-29,-4.6341
2000-11-27,30.4348
2001-01-12,17.647100000000002
2001-01-15,0.0
2001-02-12,-4.5
2001-03-01,2.5305
2001-03-02,0.0
2001-03-06,6.2128
2001-03-07,6.4103
2001-03-16,-4.0587
2001-04-17,13.021
2001-04-18,0.0
2001-04-19,2.5
2001-04-27,-5.1491
2001-05-07,20.5714
2001-05-15,-0.4739
2001-06-07,6.3095
2001-06-08,-1.2318
2001-06-19,4.5351
2001-06-20,1.0846
2001-06-29,-7.9399
2001-07-09,3.38
2001-07-10,1.4656
2001-07-11,1.1111
2001-07-12,-0.7692
2001-07-13,-0.3322
2001-07-16,0.0
2001-07-17,0.2222
2001-07-18,3.6585
2001-07-20,1.6042999999999998
2001-07-23,1.0526
2001-07-24,1.5625
2001-07-25,-1.3333
2001-07-26,-1.0395
2001-07-27,-0.7353
2001-07-30,-2.2222
2001-07-31,-3.1385
2001-08-01,1.6760000000000002
2001-08-02,2.0879
2001-08-03,-0.4306
2001-08-08,3.1351
2001-08-09,-0.4193
2001-08-10,1.5789
2001-08-13,-1.0363
2001-08-14,-1.5707
2001-08-15,4.2553
2001-08-17,-1.0204
2001-08-20,0.4124
2001-08-21,-0.5133
2001-08-23,6.2951
2001-08-24,-3.9806
2001-08-27,0.6067
2001-08-28,1.206
2001-08-29,-2.6812
2001-08-31,0.5102
2001-09-04,-0.5076
2001-09-05,1.7347000000000001
2001-09-06,-0.2006
2001-09-07,-0.7035
2001-09-10,-0.6073
2001-09-17,-8.3503
2001-09-18,-0.2222
2001-09-19,-3.3407999999999998
2001-09-20,-6.2212
2001-09-21,-1.2285
2001-09-24,10.5721
2001-09-25,5.9618
2001-09-26,-0.6369
2001-09-27,1.8162
2001-09-28,2.2036
2001-10-01,-0.2053
2001-10-02,0.5144
2001-10-03,5.9365
2001-10-04,-2.8019
2001-10-05,0.0994
2001-10-08,0.2979
2001-10-09,-2.4752
2001-10-10,-0.203
2001-10-11,-0.6104
2001-10-12,-2.4565
2001-10-15,-4.3022
2001-10-16,5.5921
2001-10-17,3.0114
2001-10-18,-3.629
2001-10-19,0.0
2001-10-22,2.0921
2001-10-23,1.8443
2001-10-24,-0.9054
2001-10-25,1.4213
2001-10-26,0.7007
2001-10-29,0.5964
2001-10-30,-2.1739
