ticker,BKUT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-01,-12.3853
2000-02-24,-8.377
2000-05-10,5.7143
2000-05-15,4.8649000000000004
2000-05-23,-8.2474
2000-06-05,-9.5506
2000-06-12,2.9503
2000-06-27,14.6305
2000-12-04,-13.8298
2001-01-05,0.0
2001-01-10,43.975
2001-01-19,-23.913
2001-02-09,2.2857
2001-05-14,0.5587
2001-05-22,8.3333
2001-07-25,4.799
2001-10-30,-6.4356
2002-01-16,-0.8043
2002-04-01,1.0811
2002-04-02,4.2781
2002-05-31,2.0513
2002-06-17,-1.005
2002-06-25,1.5228000000000002
2002-07-25,6.8608
2002-08-06,-0.4975
2002-10-08,3.8095
2002-10-18,0.9174
2002-10-30,13.0
2002-10-31,0.5632
2002-11-01,-1.2
2002-12-23,-0.4049
2003-02-03,4.8304
2003-02-19,-3.5294
2003-02-27,4.878
2003-04-07,-2.7132
2003-04-14,0.0
2003-08-06,17.6234
2003-09-02,2.0548
2003-10-08,4.0268
2004-01-12,16.7752
2004-01-29,0.4184
2004-02-25,0.2778
2004-03-01,-7.7562
2004-03-26,20.1201
2004-03-30,0.0
2004-05-03,5.0
2004-05-05,2.3810000000000002
2004-05-12,0.4651
2004-05-14,0.0
2004-05-19,4.1667
2004-05-21,0.0
2004-05-28,1.3333
2004-08-03,-0.6623
2004-08-11,-3.3333
2004-08-12,1.1494
2004-08-27,2.2727
2004-09-08,-10.6667
2004-09-16,14.4279
2004-09-23,2.1739
2004-09-27,0.0
2004-09-28,-2.1277
2004-09-30,0.0
2004-10-26,2.1739
2004-11-15,4.2553
2004-11-18,-0.6122
2004-11-29,0.616
2004-12-23,-2.6531000000000002
2004-12-27,2.7254
2005-02-23,4.7551
2005-03-11,-5.8824
2005-04-12,3.125
2005-04-15,0.0
2005-04-18,5.0505
2005-04-20,-4.8077
2005-04-22,0.0
2005-04-25,8.0808
2005-05-03,0.0
2005-05-16,0.3738
2005-05-20,-0.3724
2005-05-24,0.0
2005-05-26,0.3738
2005-06-08,0.0
2005-06-10,0.0
2005-07-14,-6.3407
2005-07-20,1.0
2005-07-21,1.9802
2005-08-03,-2.7184
2005-08-08,0.7984
2005-08-10,0.0
2005-08-11,1.9802
2005-08-31,-2.7184
2005-09-09,2.7944
2005-09-27,0.0
2005-10-11,0.0
2005-11-07,-7.767
2005-11-11,5.2632
2005-11-14,0.0
2005-11-29,-2.0
2005-12-14,3.0612
2006-01-09,-4.1355
2006-01-23,0.4158
2006-01-24,1.0352
