ticker,CVTV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-26,0.0
2017-06-23,250.0
2017-07-13,11.4286
2018-01-18,271.7949
2018-01-19,17.2414
2018-01-22,17.647100000000002
2018-01-23,10.0
2018-01-25,4.5455
2018-01-29,2.1739
2018-02-15,6.383
2018-02-20,-56.0
2018-02-28,59.0909
2018-07-19,14.2857
2018-09-24,0.0
2018-10-10,0.0
2019-08-09,242.5
2019-08-14,-2.1898
2019-08-23,2.5373
2019-09-16,74.6725
2019-10-15,-70.25
2019-12-31,208.1232
2020-02-26,-70.4545
2020-03-09,-7.6923
2020-03-12,-26.6667
2020-03-19,-31.8182
2020-07-21,33.3333
