ticker,FTPLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-03-06,-9.083
2009-03-11,-3.442
2009-03-12,-0.7088
2009-04-02,10.3773
2009-06-26,48.9064
2009-12-17,46.6548
2010-01-07,9.0425
2010-01-21,11.0481
2010-02-26,20.523
2010-03-04,6.5347
2010-03-10,6.8075
2010-03-16,-0.7685
2010-03-18,1.1218
2010-03-19,-4.5739
2010-03-22,14.932
2010-03-23,11.7371
2010-03-24,3.5789
2010-03-25,4.8931000000000004
2010-03-26,-3.5498
2010-03-31,-1.5678999999999998
2010-04-05,22.5302
2010-04-07,-0.6852
2010-04-14,10.3579
2010-04-16,-9.5347
2010-04-19,-1.1437
2010-04-30,-8.6919
2010-05-03,1.7096
2010-05-06,1.1157
2010-05-07,-0.4457
2010-05-10,7.8963
2010-06-03,4.2009
2010-06-04,0.325
2010-06-08,-2.7419000000000002
2010-07-19,-2.5854
2010-08-03,20.8945
2010-08-10,4.842
2010-08-11,-1.808
2010-08-12,-0.136
2010-08-16,-0.665
2010-08-17,0.8011
2010-08-23,1.3592
2010-09-03,6.8379
2010-09-08,6.5263
2010-09-10,-1.6357
2010-09-13,5.6126000000000005
2010-09-14,0.9353
2010-09-17,2.0489
2010-09-23,5.4973
2010-09-27,2.6755
2010-09-30,3.6616
2010-10-05,9.5239
2010-10-06,0.5019
2010-10-07,-0.172
2010-10-13,0.9991
2010-10-19,-9.4987
2010-10-20,2.1462
2010-10-21,4.0673
2010-10-22,5.6098
2010-10-25,4.8678
2010-10-26,1.4289
2010-10-27,-0.393
2010-11-02,-0.3736
2010-11-03,-0.5603
2010-11-11,-4.5756
2010-11-17,-3.335
2010-11-26,-3.3887
2010-11-30,-0.2577
2010-12-01,1.3769
2010-12-14,6.9459
2010-12-20,4.9597999999999995
2010-12-29,3.9676
2010-12-30,-2.6728
2011-01-04,-4.4239
2011-01-07,9.4228
2011-01-10,6.4259
2011-01-11,2.3073
2011-01-12,0.8754
2011-01-13,-2.4761
2011-01-14,-0.833
2011-01-18,-0.9652
2011-01-19,0.2801
2011-01-20,1.3752
2011-01-21,6.5736
2011-01-24,0.0145
2011-01-26,-0.9091
2011-01-31,5.3018
2011-02-01,2.1119
2011-02-02,4.0895
2011-02-03,-4.0132
2011-02-08,1.6225
2011-02-09,-1.0008
2011-02-10,-5.8482
2011-02-15,8.0967
2011-02-16,4.9841999999999995
2011-02-18,-1.2036
2011-02-22,-2.9085
2011-02-23,-1.6191
2011-02-24,-7.5327
