ticker,PUGE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-29,0.0
2013-06-28,4900.0
2013-08-08,500.0
2013-08-09,5.8333
2013-08-12,0.0
2013-08-13,-9.4488
2013-08-15,8.6957
2013-08-16,-8.0
2013-08-21,0.0
2013-08-27,0.0
2013-08-28,4.3478
2013-09-04,4.1667
2013-09-06,8.0
2013-09-11,-22.2222
2013-09-17,0.0
2013-09-18,19.0476
2013-09-19,5.6
2013-09-20,2.2727
2013-09-23,-1.4815
2013-09-24,5.2632
2013-09-25,5.0
2013-09-26,-11.5646
2013-09-27,-3.8462
2013-09-30,16.0
2013-10-01,1.3793
2013-10-02,2.0408
2013-10-03,0.0
2013-10-04,1.3333
2013-10-07,1.9737
2013-10-08,-1.9355
2013-10-09,-5.9211
2013-10-10,4.8951
2013-10-11,2.0
2013-10-14,-1.9607999999999999
2013-10-15,-7.3333
2013-10-16,-28.777
2013-10-17,-9.0909
2013-10-18,1.6667
2013-10-21,12.5683
2013-10-22,7.767
2013-10-23,9.009
2013-10-24,7.438
2013-10-25,7.6923
2013-10-28,-2.1429
2013-10-29,0.7299
2013-10-30,0.0
2013-10-31,-2.1739
2013-11-01,-3.7037
2013-11-04,-2.3077
2013-11-05,-1.5748
2013-11-06,-4.0
2013-11-07,0.0
2013-11-08,-8.3333
2013-11-11,6.3636
2013-11-12,-1.7094
2013-11-13,-6.087
2013-11-14,-12.5
2013-11-15,-10.0529
2013-11-18,-12.9412
2013-11-19,-10.8108
2013-11-20,13.6364
2013-11-21,6.6667
2013-11-22,10.0
2013-11-25,-14.7727
2013-11-26,0.0
2013-11-27,6.6667
2013-11-29,-1.25
2013-12-02,-5.0633
2013-12-03,-3.3333
2013-12-04,3.1724
2013-12-05,-1.0695000000000001
2013-12-06,1.3514
2013-12-09,0.0
2013-12-10,1.3333
2013-12-11,-5.2632
2013-12-12,-5.5556
2013-12-13,-1.4706000000000001
2013-12-16,1.4925
2013-12-17,10.2941
2013-12-18,-1.35
2013-12-19,-6.741
2013-12-20,4.3478
2013-12-23,4.1667
2013-12-24,5.3333
2013-12-26,3.7975
2013-12-27,1.8293
2013-12-30,4.1916
2013-12-31,0.0
2014-01-02,-1.1494
2014-01-03,5.814
2014-01-06,1.0989
2014-01-07,0.0
2014-01-08,13.0435
2014-01-09,-3.8462
2014-01-10,0.0
2014-01-13,-10.0
2014-01-14,-13.3333
2014-01-15,1.9231
2014-01-16,-3.1447
2014-01-17,1.9481000000000002
2014-01-21,-0.9793
